team,consensus_rank,note
Los Angeles Dodgers,1,"ESPN=1; CBS=1; MLB.com=2; avg=1.33"
Atlanta Braves,2,"ESPN=3; CBS=2; MLB.com=1; avg=2.00"
Milwaukee Brewers,3,"ESPN=2; CBS=3; MLB.com=3; avg=2.67"
New York Yankees,4,"ESPN=4; CBS=4; MLB.com=4; avg=4.00"
Tampa Bay Rays,5,"ESPN=6; CBS=5; MLB.com=5; avg=5.33"
Philadelphia Phillies,6,"ESPN=5; CBS=6; MLB.com=7; avg=6.00"
St. Louis Cardinals,7,"ESPN=9; CBS=7; MLB.com=9; avg=8.33"
Seattle Mariners,8,"ESPN=8; CBS=12; MLB.com=8; avg=9.33"
Cleveland Guardians,9,"ESPN=10; CBS=8; MLB.com=10; avg=9.33"
Chicago White Sox,10,"ESPN=12; CBS=10; MLB.com=6; avg=9.33"
Chicago Cubs,11,"ESPN=7; CBS=14; MLB.com=11; avg=10.67"
Pittsburgh Pirates,12,"ESPN=13; CBS=15; MLB.com=12; avg=13.33"
Washington Nationals,13,"ESPN=15; CBS=11; MLB.com=15; avg=13.67"
Miami Marlins,14,"ESPN=16; CBS=9; MLB.com=18; avg=14.33"
San Diego Padres,15,"ESPN=11; CBS=20; MLB.com=13; avg=14.67"
Toronto Blue Jays,16,"ESPN=14; CBS=13; MLB.com=17; avg=14.67"
Arizona Diamondbacks,17,"ESPN=17; CBS=18; MLB.com=14; avg=16.33"
Athletics,18,"ESPN=19; CBS=16; MLB.com=16; avg=17.00"
Texas Rangers,19,"ESPN=18; CBS=19; MLB.com=19; avg=18.67"
Baltimore Orioles,20,"ESPN=20; CBS=22; MLB.com=20; avg=20.67"
Cincinnati Reds,21,"ESPN=21; CBS=21; MLB.com=21; avg=21.00"
Minnesota Twins,22,"ESPN=23; CBS=17; MLB.com=24; avg=21.33"
Houston Astros,23,"ESPN=22; CBS=23; MLB.com=22; avg=22.33"
New York Mets,24,"ESPN=25; CBS=25; MLB.com=23; avg=24.33"
Detroit Tigers,25,"ESPN=24; CBS=24; MLB.com=25; avg=24.33"
Boston Red Sox,26,"ESPN=26; CBS=27; MLB.com=26; avg=26.33"
Kansas City Royals,27,"ESPN=27; CBS=26; MLB.com=27; avg=26.67"
San Francisco Giants,28,"ESPN=28; CBS=29; MLB.com=28; avg=28.33"
Los Angeles Angels,29,"ESPN=29; CBS=28; MLB.com=29; avg=28.67"
Colorado Rockies,30,"ESPN=30; CBS=30; MLB.com=30; avg=30.00"
