team,consensus_rank,note
NY,1,ESPN=3;BR=1;SN=1;avg=1.67
OKC,2,ESPN=1;BR=3;SN=2;avg=2.00
SA,3,ESPN=2;BR=2;SN=3;avg=2.33
BOS,4,ESPN=4;BR=4;SN=4;avg=4.00
DET,5,ESPN=5;BR=6;SN=7;avg=6.00
DEN,6,ESPN=6;BR=7;SN=8;avg=7.00
CLE,7,ESPN=7;BR=9;SN=6;avg=7.33
MIN,8,ESPN=8;BR=5;SN=10;avg=7.67
LAL,9,ESPN=9;BR=11;SN=5;avg=8.33
HOU,10,ESPN=10;BR=12;SN=9;avg=10.33
IND,11,ESPN=11;BR=13;SN=11;avg=11.67
MIA,12,ESPN=20;BR=8;SN=12;avg=13.33
CHA,13,ESPN=17;BR=10;SN=15;avg=14.00
PHI,14,ESPN=12;BR=18;SN=13;avg=14.33
ATL,15,ESPN=13;BR=14;SN=16;avg=14.33
ORL,16,ESPN=15;BR=15;SN=17;avg=15.67
TOR,17,ESPN=14;BR=16;SN=20;avg=16.67
GS,18,ESPN=16;BR=22;SN=14;avg=17.33
LAC,19,ESPN=18;BR=17;SN=22;avg=19.00
POR,20,ESPN=19;BR=20;SN=23;avg=20.67
PHX,21,ESPN=21;BR=24;SN=18;avg=21.00
UTAH,22,ESPN=22;BR=23;SN=19;avg=21.33
WSH,23,ESPN=28;BR=19;SN=21;avg=22.67
DAL,24,ESPN=23;BR=21;SN=26;avg=23.33
MEM,25,ESPN=26;BR=25;SN=24;avg=25.00
CHI,26,ESPN=25;BR=27;SN=25;avg=25.67
NO,27,ESPN=24;BR=26;SN=30;avg=26.67
MIL,28,ESPN=27;BR=28;SN=27;avg=27.33
BKN,29,ESPN=29;BR=29;SN=28;avg=28.67
SAC,30,ESPN=30;BR=30;SN=29;avg=29.67
