team,consensus_rank,note
CAR,1,"ESPN 1, BR 1, CBS 2"
COL,2,"ESPN 2, BR 3, CBS 1"
DAL,3,"ESPN 3, BR 5, CBS 3"
MTL,4,"ESPN 4, BR 4, CBS 5"
BUF,5,"ESPN 5, BR 6, CBS 4"
VGK,6,"ESPN 6, BR 2, CBS 9"
TBL,7,"ESPN 7, BR 8, CBS 6"
MIN,8,"ESPN 8, BR 7, CBS 7"
BOS,9,"ESPN 10, BR 14, CBS 11"
OTT,10,"ESPN 12, BR 15, CBS 8"
PHI,11,"ESPN 14, BR 11, CBS 10"
EDM,12,"ESPN 13, BR 12, CBS 13"
PIT,13,"ESPN 11, BR 16, CBS 12"
UTA,14,"ESPN 16, BR 10, CBS 14"
ANA,15,"ESPN 15, BR 9, CBS 17"
FLA,16,"ESPN 9, BR 13, CBS 29"
WSH,17,"ESPN 17, BR 19, CBS 15"
LAK,18,"ESPN 21, BR 17, CBS 16"
DET,19,"ESPN 18, BR 22, CBS 19"
CBJ,20,"ESPN 20, BR 20, CBS 23"
NYI,21,"ESPN 19, BR 23, CBS 22"
SJS,22,"ESPN 23, BR 18, CBS 25"
WPG,23,"ESPN 25, BR 21, CBS 20"
NJD,24,"ESPN 22, BR 24, CBS 24"
STL,25,"ESPN 27, BR 27, CBS 18"
NSH,26,"ESPN 26, BR 26, CBS 21"
TOR,27,"ESPN 24, BR 25, CBS 30"
NYR,28,"ESPN 29, BR 28, CBS 27"
SEA,29,"ESPN 28, BR 29, CBS 28"
CGY,30,"ESPN 30, BR 31, CBS 26"
CHI,31,"ESPN 31, BR 30, CBS 32"
VAN,32,"ESPN 32, BR 32, CBS 31"
