hitter,team,ops,avg,hr,rbi,r,sb,pa
Aaron Judge,New York Yankees,1.045,0.293,30,67,74,7,410
Yordan Alvarez,Houston Astros,1.002,0.309,22,54,51,1,352
Shohei Ohtani,Los Angeles Angels,0.995,0.292,30,69,86,14,477
Nick Kurtz,Athletics,0.975,0.283,24,69,65,6,399
Juan Soto,San Diego Padres,0.948,0.282,26,63,66,14,429
Kyle Schwarber,Philadelphia Phillies,0.927,0.246,37,78,73,4,479
Ben Rice,New York Yankees,0.91,0.271,23,56,61,2,381
Byron Buxton,Minnesota Twins,0.889,0.266,27,52,65,11,377
Bryce Harper,Philadelphia Phillies,0.879,0.27,21,58,62,7,428
Dominic Canzone,Seattle Mariners,0.877,0.283,12,33,29,2,222
Junior Caminero,Tampa Bay Rays,0.875,0.276,26,61,61,2,426
Yandy Díaz,Tampa Bay Rays,0.875,0.313,16,61,53,1,442
Corbin Carroll,Arizona Diamondbacks,0.873,0.266,18,56,71,18,445
Freddie Freeman,Los Angeles Dodgers,0.869,0.29,17,61,60,4,451
Ronald Acuña Jr.,Atlanta Braves,0.862,0.273,12,31,47,16,303
James Wood,Washington Nationals,0.861,0.259,22,59,72,14,453
Matt Olson,Atlanta Braves,0.858,0.268,24,70,69,2,480
Jonathan Aranda,Tampa Bay Rays,0.856,0.297,13,55,44,0,360
Bobby Witt Jr.,Kansas City Royals,0.856,0.298,16,55,64,31,467
Willson Contreras,Chicago Cubs,0.846,0.268,17,54,47,2,389
Mike Trout,Los Angeles Angels,0.843,0.235,20,44,59,5,395
TJ Rumfield,Colorado Rockies,0.842,0.284,12,43,35,0,314
Mickey Moniak,Los Angeles Angels,0.842,0.268,15,40,34,4,266
Ketel Marte,Arizona Diamondbacks,0.835,0.274,19,58,59,3,422
Pete Alonso,New York Mets,0.832,0.257,25,78,65,2,482
Dillon Dingler,Detroit Tigers,0.832,0.272,17,57,45,0,352
Brandon Marsh,Philadelphia Phillies,0.83,0.3,12,44,50,9,350
Jake Bauers,New York Yankees,0.828,0.253,12,42,40,6,268
Iván Herrera,St. Louis Cardinals,0.827,0.271,12,42,52,6,369
Shea Langeliers,Athletics,0.825,0.261,23,53,56,3,402
Drake Baldwin,Atlanta Braves,0.825,0.271,15,50,46,1,302
Pete Crow-Armstrong,Chicago Cubs,0.824,0.267,20,57,59,23,429
Ryan Jeffers,Minnesota Twins,0.822,0.269,9,35,34,1,257
Spencer Horwitz,Toronto Blue Jays,0.819,0.276,10,38,42,1,331
Riley Greene,Detroit Tigers,0.817,0.276,17,56,54,2,438
Paul Goldschmidt,St. Louis Cardinals,0.817,0.28,14,46,48,3,350
CJ Abrams,Washington Nationals,0.816,0.269,18,58,64,20,436
Tyler Soderstrom,Athletics,0.816,0.259,16,55,50,3,410
José Ramírez,Cleveland Guardians,0.816,0.263,18,55,65,30,447
Hunter Goodman,Colorado Rockies,0.815,0.252,23,52,52,4,371
Jackson Chourio,Milwaukee Brewers,0.814,0.281,14,46,50,10,333
Bryan Reynolds,Pittsburgh Pirates,0.813,0.271,14,61,60,5,463
Brandon Lowe,Tampa Bay Rays,0.813,0.25,22,59,57,1,394
Kevin McGonigle,Detroit Tigers,0.812,0.282,6,28,47,9,344
Cody Bellinger,Los Angeles Dodgers,0.812,0.27,16,65,60,11,444
Alec Burleson,St. Louis Cardinals,0.812,0.285,15,61,47,3,410
Kyle Stowers,Miami Marlins,0.81,0.25,13,41,35,2,299
Colson Montgomery,Chicago White Sox,0.809,0.224,20,48,38,1,307
Elly De La Cruz,Cincinnati Reds,0.807,0.267,16,52,62,22,412
Max Muncy,Los Angeles Dodgers,0.802,0.243,12,34,35,2,249
Michael Busch,Chicago Cubs,0.8,0.248,16,57,47,2,434
Seiya Suzuki,Chicago Cubs,0.798,0.258,17,53,50,3,403
Ryan O'Hearn,Baltimore Orioles,0.798,0.281,13,51,45,2,358
Rafael Devers,Boston Red Sox,0.797,0.248,20,61,58,1,468
Vladimir Guerrero Jr.,Toronto Blue Jays,0.797,0.286,12,53,63,6,458
Jung Hoo Lee,San Francisco Giants,0.796,0.304,6,37,50,6,381
Casey Schmitt,San Francisco Giants,0.795,0.276,15,41,34,5,315
Kazuma Okamoto,Toronto Blue Jays,0.793,0.241,18,51,42,0,324
Will Smith,Los Angeles Dodgers,0.793,0.265,10,39,40,1,302
Jeremy Peña,Houston Astros,0.793,0.289,10,35,46,12,331
Andrew Vaughn,Chicago White Sox,0.793,0.281,7,40,26,0,268
JJ Bleday,Miami Marlins,0.791,0.232,14,38,37,2,288
Sal Stewart,Cincinnati Reds,0.789,0.249,14,55,41,11,343
Brice Turang,Milwaukee Brewers,0.788,0.27,12,56,68,19,442
Gabriel Moreno,Arizona Diamondbacks,0.788,0.279,7,32,32,4,252
Kerry Carpenter,Detroit Tigers,0.788,0.242,15,40,32,0,268
William Contreras,Atlanta Braves,0.787,0.284,12,59,61,3,443
Zack Gelof,Athletics,0.787,0.265,12,31,42,10,268
Kyle Tucker,Houston Astros,0.786,0.252,12,52,58,12,401
Liam Hicks,Miami Marlins,0.785,0.268,11,51,39,1,316
Ian Happ,Chicago Cubs,0.784,0.237,19,54,66,6,457
George Springer,Toronto Blue Jays,0.784,0.254,15,41,52,10,386
Wyatt Langford,Texas Rangers,0.782,0.253,12,35,39,10,303
Zach Neto,Los Angeles Angels,0.781,0.24,19,48,63,16,425
Christian Yelich,Milwaukee Brewers,0.781,0.266,12,46,52,10,338
Brent Rooker,Athletics,0.78,0.244,18,52,44,4,368
Francisco Lindor,New York Mets,0.78,0.256,13,36,50,12,333
Wilyer Abreu,Boston Red Sox,0.779,0.263,13,47,42,6,364
Corey Seager,Texas Rangers,0.779,0.237,15,38,41,2,309
Andy Pages,Los Angeles Dodgers,0.778,0.267,18,64,55,9,421
Jordan Walker,St. Louis Cardinals,0.778,0.268,15,53,45,10,352
Randy Arozarena,Tampa Bay Rays,0.777,0.257,14,48,63,22,450
Joc Pederson,San Francisco Giants,0.776,0.234,12,32,35,1,290
Otto Lopez,Miami Marlins,0.775,0.3,8,46,55,16,411
JJ Wetherholt,St. Louis Cardinals,0.775,0.262,12,34,49,8,338
Teoscar Hernández,Toronto Blue Jays,0.774,0.263,14,53,45,4,343
Cal Raleigh,Seattle Mariners,0.773,0.213,23,55,47,5,382
Daulton Varsho,Arizona Diamondbacks,0.771,0.249,12,35,39,6,296
Brendan Donovan,St. Louis Cardinals,0.771,0.284,11,54,63,4,533
Gunnar Henderson,Baltimore Orioles,0.77,0.25,18,52,63,13,477
Isaac Paredes,Tampa Bay Rays,0.77,0.246,14,49,41,0,383
Carlos Correa,Minnesota Twins,0.77,0.278,7,30,36,1,285
Taylor Ward,Los Angeles Angels,0.769,0.246,15,47,62,3,470
Michael Harris II,Atlanta Braves,0.768,0.279,16,54,45,9,391
Luis Arraez,Minnesota Twins,0.767,0.311,5,40,51,7,455
Trent Grisham,San Diego Padres,0.767,0.23,15,46,53,6,359
Fernando Tatis Jr.,San Diego Padres,0.764,0.276,11,42,57,22,441
Miguel Vargas,Los Angeles Dodgers,0.764,0.232,15,46,55,8,382
Oneil Cruz,Pittsburgh Pirates,0.763,0.241,16,51,52,25,376
Trevor Larnach,Minnesota Twins,0.763,0.263,9,35,44,3,332
Julio Rodríguez,Seattle Mariners,0.761,0.259,20,57,62,18,475
Xavier Edwards,Miami Marlins,0.761,0.291,5,32,51,17,404
Luke Raley,Tampa Bay Rays,0.76,0.232,12,34,28,3,248
Brandon Nimmo,New York Mets,0.759,0.26,14,50,51,6,457
Christian Walker,Arizona Diamondbacks,0.759,0.238,22,65,54,1,442
Francisco Alvarez,New York Mets,0.759,0.251,10,25,24,0,227
Jazz Chisholm Jr.,Miami Marlins,0.758,0.238,18,48,53,27,393
Nathaniel Lowe,Texas Rangers,0.758,0.247,12,45,36,0,349
Gleyber Torres,New York Yankees,0.758,0.265,9,37,46,2,355
Mookie Betts,Los Angeles Dodgers,0.757,0.255,14,44,52,5,358
Jac Caglianone,Kansas City Royals,0.755,0.243,12,27,34,2,274
Geraldo Perdomo,Arizona Diamondbacks,0.753,0.259,8,46,54,15,431
Josh Jung,Texas Rangers,0.753,0.278,10,40,42,2,378
Jose Altuve,Houston Astros,0.752,0.259,14,39,54,6,397
Josh Naylor,Cleveland Guardians,0.751,0.27,13,56,46,17,424
Jake Burger,Miami Marlins,0.749,0.249,16,53,42,1,360
Kody Clemens,Minnesota Twins,0.749,0.231,13,36,36,6,299
Luis García Jr.,Washington Nationals,0.749,0.262,14,55,45,7,354
