date,home,away,home_ml,away_ml,p_home_close,p_away_close,vig,n_books
2021-04-01,Chicago Cubs,Pittsburgh Pirates,-222,189,0.66598,0.33402,0.03594,4
2021-04-01,Cincinnati Reds,St. Louis Cardinals,-120,105,0.52837,0.47163,0.03429,4
2021-04-01,Colorado Rockies,Los Angeles Dodgers,188,-222,0.33517,0.66483,0.03775,4
2021-04-01,Kansas City Royals,Texas Rangers,-158,138,0.59228,0.40772,0.0327,4
2021-04-01,Miami Marlins,Tampa Bay Rays,134,-152,0.4149,0.5851,0.03223,4
2021-04-01,Milwaukee Brewers,Minnesota Twins,-117,100,0.51885,0.48115,0.03917,4
2021-04-01,New York Yankees,Toronto Blue Jays,-192,166,0.63688,0.36312,0.03335,4
2021-04-01,Philadelphia Phillies,Atlanta Braves,-128,110,0.54064,0.45936,0.03663,4
2021-04-01,San Diego Padres,Arizona Diamondbacks,-235,202,0.67969,0.32031,0.03207,4
2021-04-02,Athletics,Houston Astros,-107,-106,0.50057,0.49943,0.03265,4
2021-04-02,Boston Red Sox,Baltimore Orioles,-178,155,0.62017,0.37983,0.03244,3
2021-04-02,Los Angeles Angels,Chicago White Sox,103,-119,0.4755,0.5245,0.03599,4
2021-04-02,Miami Marlins,Tampa Bay Rays,-108,-106,0.50226,0.49774,0.03379,4
2021-04-02,Seattle Mariners,San Francisco Giants,105,-119,0.47305,0.52695,0.03118,4
2021-04-03,Athletics,Houston Astros,-123,104,0.53007,0.46993,0.04057,4
2021-04-03,Boston Red Sox,Baltimore Orioles,-173,152,0.6154,0.3846,0.02974,4
2021-04-03,Chicago Cubs,Pittsburgh Pirates,-165,144,0.60256,0.39744,0.03332,4
2021-04-03,Cincinnati Reds,St. Louis Cardinals,-124,107,0.53354,0.46646,0.03566,4
2021-04-03,Colorado Rockies,Los Angeles Dodgers,210,-252,0.3105,0.6895,0.03889,4
2021-04-03,Kansas City Royals,Texas Rangers,-164,140,0.59876,0.40124,0.03629,4
2021-04-03,Los Angeles Angels,Chicago White Sox,-120,104,0.52729,0.47271,0.03445,4
2021-04-03,Miami Marlins,Tampa Bay Rays,-110,-104,0.50673,0.49327,0.03594,4
2021-04-03,Milwaukee Brewers,Minnesota Twins,-133,116,0.55216,0.44784,0.03378,4
2021-04-03,New York Yankees,Toronto Blue Jays,-168,145,0.60591,0.39409,0.03572,4
