player,team,pos,value,ppg,rpg,apg,spg,bpg
Luka Doncic,LAL,G,44.1,33.5,7.7,8.3,1.6,0.5
Nikola Jokic,DEN,C,43.8,27.7,12.9,10.7,1.4,0.8
Shai Gilgeous-Alexander,OKC,G,39.4,31.1,4.3,6.6,1.4,0.8
Victor Wembanyama,SA,F,37.6,25.0,11.5,3.1,1.0,3.1
Giannis Antetokounmpo,MIA,F,37.6,27.6,9.8,5.4,0.9,0.7
Tyrese Maxey,PHI,G,36.7,28.3,4.1,6.6,1.9,0.8
Jaylen Brown,BOS,G,36.0,28.7,6.9,5.1,1.0,0.4
Kawhi Leonard,LAC,F,35.7,27.9,6.4,3.6,1.9,0.4
Anthony Edwards,MIN,G,35.0,28.8,5.0,3.7,1.4,0.8
Joel Embiid,PHI,C,34.8,26.9,7.7,3.9,0.6,1.2
Donovan Mitchell,CLE,G,34.8,27.9,4.5,5.7,1.5,0.3
Jalen Johnson,ATL,F,34.5,22.5,10.3,7.9,1.2,0.4
Cade Cunningham,DET,G,34.4,23.9,5.5,9.9,1.4,0.8
Lauri Markkanen,UTAH,F,33.5,26.7,6.9,2.1,1.0,0.5
Jamal Murray,DEN,G,33.1,25.4,4.4,7.1,0.9,0.4
Kevin Durant,HOU,F,32.6,26.0,5.5,4.8,0.8,0.9
Jalen Brunson,NY,G,32.4,26.0,3.3,6.8,0.8,0.1
Deni Avdija,POR,F,32.4,24.2,6.9,6.7,0.8,0.6
Stephen Curry,GS,G,31.9,26.6,3.6,4.7,1.1,0.4
Devin Booker,PHX,G,31.9,26.1,3.9,6.0,0.8,0.3
James Harden,CLE,G,31.6,23.6,4.8,8.0,1.1,0.4
Pascal Siakam,IND,F,31.2,24.0,6.6,3.8,1.1,0.4
Alperen Sengun,HOU,C,31.0,20.4,8.9,6.2,1.2,1.1
Michael Porter Jr.,BKN,F,30.9,24.2,7.1,3.0,1.1,0.2
Paolo Banchero,ORL,F,30.8,22.2,8.4,5.2,0.7,0.6
Karl-Anthony Towns,NY,C,30.1,20.1,11.9,3.0,0.9,0.5
Bam Adebayo,MIA,C,30.1,20.1,10.0,3.2,1.2,0.7
LeBron James,LAL,F,29.9,20.9,6.1,7.2,1.2,0.6
Austin Reaves,LAL,G,29.8,23.3,4.7,5.5,1.1,0.4
Keyonte George,UTAH,G,29.7,23.6,3.7,6.1,1.1,0.3
Cooper Flagg,DAL,F,29.4,21.0,6.7,4.5,1.2,0.9
Trey Murphy III,NO,F,28.8,21.5,5.7,3.8,1.5,0.4
Julius Randle,BKN,F,28.7,21.1,6.7,5.0,1.1,0.2
Jalen Duren,DET,C,28.6,19.5,10.5,2.0,0.8,0.8
Scottie Barnes,TOR,F,28.5,18.1,7.5,5.9,1.4,1.4
Josh Giddey,CHI,G,28.2,17.0,8.3,9.1,1.0,0.5
Evan Mobley,CLE,C,28.1,18.2,9.0,3.6,0.7,1.7
LaMelo Ball,MIN,G,27.9,20.1,4.8,7.1,1.2,0.2
Amen Thompson,HOU,G,27.9,18.3,7.8,5.3,1.5,0.6
Jimmy Butler III,GS,F,27.8,20.0,5.6,4.9,1.4,0.2
Brandon Ingram,TOR,F,27.8,21.5,5.6,3.7,0.8,0.7
Zion Williamson,NO,F,27.3,21.0,5.7,3.2,1.0,0.5
Kevin Porter Jr.,MIL,G,26.9,17.4,5.2,7.4,2.2,0.5
Franz Wagner,ORL,F,26.6,20.6,5.2,3.3,0.9,0.3
Tyler Herro,MIL,G,26.5,20.5,4.8,4.1,0.7,0.4
Nickeil Alexander-Walker,ATL,G,26.2,20.8,3.4,3.7,1.3,0.5
Desmond Bane,ORL,G,26.0,20.1,4.1,4.1,1.0,0.5
Norman Powell,MIA,G,25.9,21.7,3.5,2.5,1.1,0.2
Chet Holmgren,OKC,C,25.9,17.1,8.9,1.7,0.6,1.9
Brandon Miller,CHA,F,25.9,20.2,4.9,3.3,1.0,0.7
Jaren Jackson Jr.,UTAH,F,25.7,19.4,5.7,2.0,1.1,1.4
De'Aaron Fox,SA,G,25.4,18.6,3.8,6.2,1.2,0.3
Shaedon Sharpe,POR,G,25.2,20.8,4.3,2.6,1.4,0.1
RJ Barrett,TOR,F,25.1,19.3,5.3,3.3,0.7,0.3
