team,name,off,def,net,ppg_for,ppg_against,lg_ppg,hfa,sd_margin,sd_total
OKC,Oklahoma City Thunder,3.92,-5.85,9.77,118.7,109.0,114.83,1.8,14.78,19.02
BOS,Boston Celtics,0.82,-7.27,8.08,115.6,107.6,114.83,1.8,14.78,19.02
NY,New York Knicks,0.56,-4.44,5.0,115.4,110.4,114.83,1.8,14.78,19.02
CLE,Cleveland Cavaliers,3.71,-1.12,4.82,118.5,113.7,114.83,1.8,14.78,19.02
DEN,Denver Nuggets,5.59,0.97,4.62,120.4,115.8,114.83,1.8,14.78,19.02
MIN,Minnesota Timberwolves,1.33,-2.53,3.86,116.2,112.3,114.83,1.8,14.78,19.02
HOU,Houston Rockets,-0.59,-3.98,3.4,114.2,110.8,114.83,1.8,14.78,19.02
DET,Detroit Pistons,0.73,-2.53,3.26,115.6,112.3,114.83,1.8,14.78,19.02
SA,San Antonio Spurs,2.34,-0.61,2.94,117.2,114.2,114.83,1.8,14.78,19.02
LAC,LA Clippers,-1.2,-3.6,2.4,113.6,111.2,114.83,1.8,14.78,19.02
LAL,Los Angeles Lakers,0.91,-0.63,1.54,115.7,114.2,114.83,1.8,14.78,19.02
MIA,Miami Heat,1.42,-0.08,1.5,116.3,114.8,114.83,1.8,14.78,19.02
GS,Golden State Warriors,-0.0,-1.06,1.06,114.8,113.8,114.83,1.8,14.78,19.02
ATL,Atlanta Hawks,3.77,2.82,0.96,118.6,117.6,114.83,1.8,14.78,19.02
PHX,Phoenix Suns,-1.56,-2.4,0.85,113.3,112.4,114.83,1.8,14.78,19.02
ORL,Orlando Magic,-2.92,-3.01,0.09,111.9,111.8,114.83,1.8,14.78,19.02
TOR,Toronto Raptors,-1.57,-1.46,-0.11,113.3,113.4,114.83,1.8,14.78,19.02
CHA,Charlotte Hornets,-3.17,-2.18,-0.99,111.7,112.6,114.83,1.8,14.78,19.02
PHI,Philadelphia 76ers,-0.86,0.39,-1.25,114.0,115.2,114.83,1.8,14.78,19.02
POR,Portland Trail Blazers,-2.01,-0.06,-1.96,112.8,114.8,114.83,1.8,14.78,19.02
MIL,Milwaukee Bucks,-1.68,0.76,-2.44,113.1,115.6,114.83,1.8,14.78,19.02
MEM,Memphis Grizzlies,0.74,3.56,-2.83,115.6,118.4,114.83,1.8,14.78,19.02
DAL,Dallas Mavericks,-0.26,2.77,-3.03,114.6,117.6,114.83,1.8,14.78,19.02
CHI,Chicago Bulls,1.37,4.79,-3.42,116.2,119.6,114.83,1.8,14.78,19.02
IND,Indiana Pacers,0.67,4.3,-3.64,115.5,119.1,114.83,1.8,14.78,19.02
NO,New Orleans Pelicans,-0.78,3.1,-3.88,114.1,117.9,114.83,1.8,14.78,19.02
SAC,Sacramento Kings,-1.39,3.53,-4.93,113.4,118.4,114.83,1.8,14.78,19.02
UTAH,Utah Jazz,1.26,8.46,-7.21,116.1,123.3,114.83,1.8,14.78,19.02
BKN,Brooklyn Nets,-8.33,-0.6,-7.73,106.5,114.2,114.83,1.8,14.78,19.02
WSH,Washington Wizards,-2.82,7.94,-10.76,112.0,122.8,114.83,1.8,14.78,19.02
