kicker,team,u30,30-39,40-49,50+,att
K.Fairbairn,HOU,0.949,0.97,0.963,0.76,53.0
J.Myers,SEA,0.921,0.954,0.875,0.743,52.0
C.Dicker,LAC,1.0,0.951,0.928,0.813,45.0
B.Aubrey,DAL,1.0,0.894,0.948,0.713,45.0
W.Lutz,DEN,1.0,0.961,0.709,0.62,41.0
H.Butker,KC,0.974,0.967,0.864,0.624,40.0
C.McLaughlin,TB,1.0,0.882,0.758,0.862,40.0
C.Boswell,PIT,1.0,0.848,0.871,0.833,40.0
J.Elliott,PHI,1.0,0.953,0.81,0.465,39.0
B.Grupe,IND,0.967,0.87,0.681,0.717,36.0
J.Slye,TEN,0.934,0.956,0.776,0.639,36.0
C.Santos,CHI,1.0,0.929,0.801,0.801,35.0
D.Carlson,LV,1.0,0.984,0.774,0.646,34.0
B.McManus,GB,0.993,0.952,0.575,0.569,34.0
E.Pineiro,SF,1.0,0.962,0.919,0.808,33.0
C.Ryland,ARI,1.0,0.899,0.649,0.656,33.0
M.Gay,SF,1.0,0.91,0.962,0.454,32.0
W.Reichard,MIN,1.0,0.964,0.905,0.812,31.0
C.Little,JAX,1.0,1.0,0.852,0.752,31.0
N.Folk,NYJ,1.0,1.0,0.936,0.889,30.0
J.Bates,DET,1.0,1.0,0.831,0.533,30.0
E.McPherson,CIN,0.99,1.0,0.914,0.593,29.0
J.Moody,WAS,0.845,0.908,0.671,0.668,29.0
R.Patterson,MIA,0.967,0.924,0.938,0.647,25.0
A.Borregales,NE,1.0,0.9,0.576,0.772,24.0
M.Prater,BUF,1.0,0.915,0.956,0.777,23.0
Y.Koo,NYG,1.0,0.879,0.71,0.462,22.0
T.Loop,BAL,1.0,1.0,0.872,0.225,21.0
J.Karty,LA,0.839,0.786,0.739,0.733,20.0
Z.Gonzalez,ATL,,0.815,0.922,0.755,19.0
R.Fitzgerald,CAR,1.0,0.89,0.901,0.375,18.0
J.Sanders,MIA,0.981,1.0,0.784,0.808,18.0
J.Tucker,BAL,1.0,1.0,0.779,0.541,17.0
T.Bass,BUF,0.888,0.946,0.657,0.887,17.0
A.Szmyt,CLE,1.0,0.917,0.84,0.847,17.0
G.Gano,NYG,1.0,0.851,0.676,0.912,13.0
H.Mevis,LA,1.0,1.0,0.903,,13.0
D.Hopkins,CLE,0.878,0.906,0.672,0.65,13.0
G.Joseph,NYJ,1.0,1.0,0.639,0.498,12.0
J.Romo,ATL,1.0,0.893,0.674,,12.0
G.Zuerlein,NYJ,1.0,0.805,0.705,,11.0
C.Smyth,NO,,1.0,0.599,0.663,11.0
M.Badgley,BUF,,1.0,0.966,0.686,10.0
