team,player,pos,value,pass_yds,rush_yds,rec_yds,tds
ARI,Trey McBride,TE,64.4,0,1,1206,8
ARI,Kyler Murray,QB,36.3,2001,316,0,14
ARI,Marvin Harrison Jr.,WR,29.7,0,0,708,5
ARI,Michael Wilson,WR,19.8,0,3,841,6
ARI,Greg Dortch,WR,5.3,0,21,255,4
ARI,Elijah Higgins,TE,4.3,0,0,255,1
ARI,Zay Jones,WR,3.4,0,0,147,0
ATL,Drake London,WR,28.2,0,-1,1046,8
ATL,Bijan Robinson,RB,18.4,0,1470,680,12
ATL,Kyle Pitts,TE,18.2,0,0,811,5
ATL,Darnell Mooney,WR,18.0,0,0,640,2
ATL,Michael Penix Jr.,QB,13.3,1548,49,0,8
ATL,Casey Washington,WR,2.7,0,0,65,0
ATL,Divine Deablo,LB,1.6,0,0,12,0
BAL,Lamar Jackson,QB,97.7,3287,596,0,32
BAL,Zay Flowers,WR,48.1,0,60,1156,5
BAL,Mark Andrews,TE,25.5,0,35,544,8
BAL,Derrick Henry,RB,23.6,0,1809,165,18
BAL,Rashod Bateman,WR,17.6,0,0,448,5
BAL,Isaiah Likely,TE,16.2,0,0,413,3
BAL,Devontez Walker,WR,11.9,0,0,95,2
BUF,Josh Allen,QB,163.8,4275,663,3,46
BUF,Dalton Kincaid,TE,37.3,0,0,623,5
BUF,Khalil Shakir,WR,27.9,0,5,919,4
BUF,Ty Johnson,RB,19.4,0,238,283,5
BUF,Keon Coleman,WR,18.4,0,3,496,5
BUF,James Cook,RB,17.1,0,1603,321,17
BUF,Dawson Knox,TE,15.6,0,0,435,3
CAR,Tetairoa McMillan,WR,29.4,0,0,1095,7
CAR,Jalen Coker,WR,28.5,7,0,510,3
CAR,Tommy Tremble,TE,7.4,0,0,258,2
CAR,Ja'Tavion Sanders,TE,7.0,0,0,245,1
CAR,Jimmy Horn Jr.,WR,5.7,0,69,108,0
CAR,Mitchell Evans,TE,4.2,0,1,171,2
CAR,Brycen Tremayne,WR,3.5,0,0,102,0
CHI,Colston Loveland,TE,49.0,0,-2,906,6
CHI,Caleb Williams,QB,33.1,4194,460,14,30
CHI,Luther Burden III,WR,26.5,0,33,718,2
CHI,DJ Moore,WR,25.2,1,79,858,9
CHI,Rome Odunze,WR,22.5,0,5,744,5
CHI,Cole Kmet,TE,17.1,0,1,413,3
CHI,Olamide Zaccheaus,WR,8.5,0,19,409,3
CIN,Joe Burrow,QB,72.9,2927,99,0,27
CIN,Ja'Marr Chase,WR,55.0,0,20,1518,11
CIN,Tee Higgins,WR,43.3,0,0,869,11
CIN,Andrei Iosivas,WR,16.0,0,9,451,3
CIN,Mike Gesicki,TE,14.9,0,0,436,2
