team,off_epa,def_epa,net_epa,off_rank,def_rank,net_rank,ppf,ppa,off_succ,def_succ,cmp_pct,cmp_pct_allowed,ypa,ypa_allowed,ypc,ypc_allowed,cpoe,third,third_allowed,drive_score,drive_score_allowed,giveaways,takeaways,sacks,kr_avg,pr_avg,start_fp,pen_pg,fg_pct,lg_ppg,hfa,kp,kt,sd_margin,sd_total,off_hist,def_hist,adj_off,adj_def,off_epa_model,def_epa_model
LA,0.0961,-0.0298,0.1259,2,8,1,27.4,21.5,0.4914,0.4331,0.6046,0.5866,7.07,6.01,4.43,4.39,-0.13,0.3702,0.3901,0.4388,0.3639,0.87,1.39,2.63,7.6,3.3,54.0,37.8,0.8436,22.88,2.14,47.41,30.69,12.46,12.99,0.1187,-0.036,-0.0387,-0.0223,0.08,-0.0137
SEA,0.0195,-0.0758,0.0953,13,2,2,23.8,19.3,0.4531,0.4104,0.6245,0.5795,6.93,5.47,4.22,4.09,4.05,0.3907,0.3442,0.4422,0.2984,1.27,1.53,2.74,16.9,4.5,55.7,46.4,0.8789,22.88,2.14,47.41,30.69,12.46,12.99,0.0232,-0.1135,-0.0142,-0.0482,0.009,-0.0653
BUF,0.1018,0.0073,0.0945,1,18,3,27.7,23.2,0.4857,0.4347,0.6328,0.5765,6.83,5.7,4.76,4.89,3.53,0.4661,0.4291,0.4671,0.3786,1.11,1.42,2.03,16.6,3.5,53.2,48.7,0.894,22.88,2.14,47.41,30.69,12.46,12.99,0.1488,-0.0001,-0.0448,-0.0052,0.104,0.0051
PHI,0.0256,-0.0571,0.0827,11,5,4,24.1,20.2,0.4381,0.4178,0.5976,0.5446,6.18,5.53,4.44,4.21,3.05,0.3865,0.4035,0.3924,0.3355,0.83,1.47,2.57,15.1,3.9,54.5,55.9,0.7908,22.88,2.14,47.41,30.69,12.46,12.99,0.0231,-0.1032,-0.0012,-0.0498,0.0219,-0.0534
DEN,0.0168,-0.0637,0.0805,15,3,5,23.7,19.9,0.431,0.3865,0.6035,0.5418,5.87,5.13,4.2,4.05,-0.88,0.4041,0.366,0.3654,0.3447,1.01,1.2,3.74,15.9,4.9,54.7,55.2,0.8477,22.88,2.14,47.41,30.69,12.46,12.99,0.0122,-0.0656,-0.0099,-0.0164,0.0023,-0.0492
GB,0.0732,-0.0035,0.0767,4,15,6,26.4,22.7,0.4668,0.4458,0.6148,0.6051,6.98,5.9,4.31,4.18,4.08,0.4628,0.4039,0.4278,0.4027,0.94,1.06,2.17,17.5,2.7,53.0,48.9,0.7944,22.88,2.14,47.41,30.69,12.46,12.99,0.1092,0.0083,-0.0323,0.0155,0.0769,-0.0072
NE,0.0549,-0.0154,0.0703,7,10,7,25.5,22.1,0.4482,0.4251,0.6072,0.5852,6.54,5.47,4.37,4.1,5.52,0.3844,0.3742,0.3608,0.3263,1.26,1.18,2.17,15.4,4.7,55.5,46.0,0.7925,22.88,2.14,47.41,30.69,12.46,12.99,0.0256,-0.0526,0.0178,-0.0487,0.0434,-0.0039
BAL,0.0666,-0.0017,0.0683,5,16,8,26.0,22.8,0.4628,0.4259,0.6021,0.5945,6.81,6.17,5.36,4.02,3.28,0.434,0.381,0.4355,0.3915,1.16,1.19,2.26,15.1,3.8,52.6,48.8,0.8514,22.88,2.14,47.41,30.69,12.46,12.99,0.0917,-0.0072,-0.0251,-0.0055,0.0666,-0.0017
DET,0.0509,-0.009,0.0599,8,13,9,25.3,22.5,0.466,0.4227,0.6396,0.5685,7.06,6.31,4.66,4.41,1.82,0.4107,0.3618,0.4555,0.3936,1.0,1.16,2.61,15.2,5.2,52.2,45.1,0.8243,22.88,2.14,47.41,30.69,12.46,12.99,0.1005,-0.0266,-0.0137,0.0183,0.0868,-0.0449
HOU,-0.0336,-0.0902,0.0566,25,1,10,21.3,18.6,0.4068,0.3822,0.5727,0.5432,5.9,5.37,3.99,3.95,-2.82,0.392,0.3456,0.3927,0.2963,1.15,1.71,2.95,17.1,4.2,55.1,56.1,0.9093,22.88,2.14,47.41,30.69,12.46,12.99,-0.0435,-0.1422,0.0244,-0.0375,-0.0191,-0.1047
