goalie,team,shots_faced,xg_faced,goals_allowed,gsax,gsax_per_shot,sv_pct,games
Logan Thompson,VGK,3468.2,367.5,311.5,56.0,0.0162,0.9102,154
Connor Hellebuyck,WPG,4100.8,423.7,375.3,48.4,0.0118,0.9085,188
Igor Shesterkin,NYR,3893.9,398.7,351.3,47.5,0.0122,0.9098,176
Andrei Vasilevskiy,TBL,3912.5,399.1,354.7,44.4,0.0114,0.9093,178
Jakub Dobes,MTL,2115.8,239.4,203.5,35.9,0.017,0.9038,80
Ilya Sorokin,NYI,3801.6,391.7,356.8,34.9,0.0092,0.9062,169
Jeremy Swayman,BOS,3881.1,404.8,370.9,33.9,0.0087,0.9044,168
Jet Greaves,CBJ,1961.4,204.3,174.3,30.1,0.0153,0.9112,73
Anthony Stolarz,FLA,1924.3,194.3,171.0,23.3,0.0121,0.9112,92
Frederik Andersen,CAR,2185.7,252.2,230.6,21.6,0.0099,0.8945,95
Mackenzie Blackwood,SJS,3052.6,313.8,293.0,20.8,0.0068,0.904,144
Scott Wedgewood,DAL,2258.7,219.3,198.5,20.8,0.0092,0.9121,110
Casey DeSmith,VAN,1792.5,189.6,169.4,20.2,0.0113,0.9055,87
Sam Montembeault,MTL,2035.3,219.6,200.4,19.3,0.0095,0.9016,103
John Gibson,ANA,2805.4,298.5,281.1,17.4,0.0062,0.8998,131
Jake Allen,NJD,2237.4,238.1,221.1,17.0,0.0076,0.9012,99
Spencer Knight,CHI,2338.5,246.3,230.0,16.3,0.007,0.9016,92
Thatcher Demko,VAN,1770.8,185.2,169.5,15.8,0.0089,0.9043,94
Joel Hofer,STL,2282.6,222.8,208.4,14.5,0.0063,0.9087,106
Jake Oettinger,DAL,4231.6,419.7,405.5,14.3,0.0034,0.9042,185
Karel Vejmelka,UTA,3527.5,374.4,360.2,14.2,0.004,0.8979,154
Devin Cooley,SJS,951.6,104.8,90.7,14.0,0.0147,0.9046,37
Dan Vladar,CGY,2498.0,259.5,245.7,13.8,0.0055,0.9017,110
Alex Lyon,DET,2443.7,252.3,238.6,13.7,0.0056,0.9024,118
Sergei Bobrovsky,FLA,3932.6,408.1,397.7,10.4,0.0027,0.8989,181
Filip Gustavsson,MIN,3504.6,339.4,329.5,10.0,0.0028,0.906,154
Joey Daccord,SEA,3261.3,322.3,314.1,8.2,0.0025,0.9037,152
Brandon Bussi,CAR,990.0,111.0,103.0,8.0,0.0081,0.896,43
Joseph Woll,TOR,2738.7,275.4,268.0,7.4,0.0027,0.9022,115
Justus Annunen,COL,1547.7,162.1,154.8,7.4,0.0048,0.9,75
Dennis Hildeby,TOR,665.5,70.3,63.0,7.3,0.011,0.9053,26
Linus Ullmark,BOS,3045.9,306.5,299.2,7.3,0.0024,0.9018,141
Darcy Kuemper,WSH,2852.5,290.2,282.9,7.3,0.0025,0.9008,137
Anton Forsberg,OTT,2063.9,209.1,202.0,7.1,0.0034,0.9022,99
Jesper Wallstedt,MIN,1436.1,134.9,127.9,7.0,0.0049,0.9109,50
Jacob Fowler,MTL,447.0,47.8,41.0,6.8,0.0151,0.9083,18
Ukko-Pekka Luukkonen,BUF,2982.8,308.8,302.1,6.7,0.0023,0.8987,146
Semyon Varlamov,NYI,739.1,72.4,66.3,6.1,0.0082,0.9103,42
Laurent Brossoit,WPG,367.2,35.3,30.8,4.5,0.0123,0.9163,25
Dylan Garand,NYR,97.0,8.9,5.0,3.9,0.04,0.9485,3
James Reimer,DET,1181.7,127.7,124.0,3.7,0.0031,0.8951,61
Martin Jones,TOR,315.7,34.2,30.8,3.4,0.0108,0.9024,22
David Rittich,LAK,1657.7,174.8,171.7,3.1,0.0018,0.8964,88
Arsenii Sergeev,CGY,28.0,3.6,1.0,2.6,0.0937,0.9643,1
Nico Daws,NJD,486.2,48.8,46.2,2.6,0.0053,0.9049,29
Stuart Skinner,EDM,3784.2,402.5,400.2,2.4,0.0006,0.8943,181
Matt Murray,DAL,163.4,15.8,14.0,1.8,0.0108,0.9143,9
Victor Ostman,SEA,44.0,3.7,2.0,1.7,0.039,0.9545,2
Clay Stevenson,WSH,130.5,14.2,12.8,1.5,0.0115,0.9023,5
Leevi Merilainen,OTT,332.0,35.8,34.5,1.3,0.004,0.8961,18
Drew Commesso,CHI,103.5,11.3,10.0,1.3,0.0129,0.9034,5
Pyotr Kochetkov,CAR,1712.0,173.1,171.8,1.3,0.0008,0.8997,94
Erik Portillo,LAK,21.8,2.0,0.8,1.3,0.0594,0.9655,1
Magnus Hellberg,PIT,35.2,3.8,2.8,1.0,0.0294,0.9219,3
Ivan Prosvetov,COL,135.8,14.7,13.8,1.0,0.0072,0.8988,11
Malcolm Subban,CBJ,19.3,2.5,1.7,0.9,0.0451,0.9143,1
Louis Domingue,NYR,34.6,2.8,2.0,0.7,0.0212,0.9407,2
Cam Talbot,LAK,2648.8,270.6,270.1,0.6,0.0002,0.898,131
Chris Driedger,SEA,33.0,3.2,2.8,0.5,0.014,0.9167,2
Colten Ellis,BUF,454.0,45.4,45.0,0.4,0.0009,0.9009,16
Jaxson Stauber,UTA,118.5,13.0,12.8,0.3,0.0024,0.8924,6
Matt Tomkins,TBL,101.7,11.2,11.0,0.2,0.0023,0.8919,6
Akira Schmid,NJD,1114.6,115.2,115.1,0.1,0.0,0.8967,58
Michael Hutchinson,DET,19.8,1.6,1.7,-0.0,-0.0005,0.9167,1
Trent Miner,COL,129.8,11.0,11.0,-0.0,-0.0003,0.9152,6
Eric Comrie,BUF,1212.2,125.4,125.6,-0.2,-0.0002,0.8964,58
Dustin Wolf,CGY,2977.1,291.0,291.3,-0.2,-0.0001,0.9022,126
Sebastian Cossa,DET,10.5,1.3,1.5,-0.2,-0.0235,0.8571,1
Ales Stezka,SEA,16.5,1.8,2.2,-0.4,-0.0269,0.8636,1
Olivier Rodrigue,EDM,21.8,2.5,3.0,-0.5,-0.0223,0.8621,2
Devon Levi,BUF,557.4,61.0,61.6,-0.6,-0.0011,0.8895,32
Matt Villalta,UTA,38.4,4.2,5.0,-0.8,-0.0211,0.87,3
Kaapo Kahkonen,NJD,641.4,65.9,66.8,-0.9,-0.0014,0.8959,38
Dustin Tokarski,CAR,99.0,8.8,9.8,-1.0,-0.0096,0.9015,6
Artur Akhtyamov,TOR,82.0,9.6,11.0,-1.4,-0.0165,0.8659,3
Vyacheslav Buteyets,ANA,13.0,1.6,3.0,-1.4,-0.1066,0.7692,1
Thomas Milic,WPG,62.0,6.2,8.0,-1.8,-0.0296,0.871,3
Lukas Dostal,ANA,3734.3,394.4,396.5,-2.0,-0.0005,0.8938,163
Jack Campbell,EDM,85.2,8.9,11.0,-2.1,-0.0243,0.871,5
Adin Hill,VGK,2355.1,241.0,243.2,-2.2,-0.0009,0.8967,122
Nikke Kokko,SEA,86.5,8.1,10.5,-2.4,-0.0275,0.8786,4
Jakub Skarek,NYI,29.2,1.9,4.5,-2.6,-0.0881,0.8462,2
Charlie Lindgren,WSH,2188.9,226.8,229.6,-2.8,-0.0013,0.8951,111
Carter Hart,PHI,1455.8,139.6,142.4,-2.8,-0.0019,0.9022,66
Cal Petersen,PHI,72.6,7.0,9.9,-2.9,-0.0405,0.8636,5
Georgi Romanov,SJS,182.1,17.8,20.8,-3.0,-0.0164,0.8857,10
Pheonix Copley,LAK,134.3,14.1,17.2,-3.0,-0.0224,0.8723,10
Jacob Markstrom,CGY,2904.0,303.9,307.0,-3.1,-0.0011,0.8943,138
Brandon Halverson,TBL,39.0,4.5,7.8,-3.3,-0.084,0.8013,2
Felix Sandstrom,PHI,52.8,6.0,9.3,-3.3,-0.0629,0.8229,5
Sergei Murashov,PIT,116.0,8.5,12.0,-3.5,-0.0303,0.8966,5
Joel Blomqvist,PIT,318.0,33.0,36.8,-3.7,-0.0118,0.8844,15
Ilya Samsonov,TOR,1232.6,130.1,134.1,-4.0,-0.0032,0.8912,74
Hunter Shepard,WSH,99.1,10.3,14.4,-4.1,-0.0412,0.8548,6
Alex Nedeljkovic,PIT,2414.3,246.0,250.1,-4.1,-0.0017,0.8964,110
Carl Lindbom,VGK,189.0,19.8,24.0,-4.2,-0.022,0.873,8
Magnus Chrona,SJS,144.1,16.1,20.4,-4.3,-0.0297,0.8588,9
Antti Raanta,CAR,271.7,29.7,34.7,-4.9,-0.0182,0.8725,24
Daniil Tarasov,CBJ,1766.6,180.9,185.9,-5.0,-0.0028,0.8948,75
Jonathan Quick,NYR,1588.6,158.9,164.2,-5.3,-0.0033,0.8966,74
Samuel Montembeault,MTL,636.0,75.7,81.0,-5.3,-0.0084,0.8726,25
Jiri Patera,VGK,148.3,12.7,18.6,-5.8,-0.0391,0.875,7
Marcus Hogberg,NYI,257.5,26.9,32.8,-5.9,-0.0227,0.8728,16
Connor Ingram,UTA,2127.0,213.9,220.3,-6.4,-0.003,0.8964,107
Tristan Jarry,PIT,2357.8,248.4,255.4,-7.0,-0.003,0.8917,117
Ville Husso,DET,1120.2,116.9,125.2,-8.3,-0.0074,0.8882,53
Nikita Tolopilo,VAN,597.0,62.9,71.2,-8.4,-0.014,0.8807,23
Philipp Grubauer,SEA,1888.0,184.5,193.3,-8.8,-0.0046,0.8976,92
Mads Sogaard,OTT,139.7,12.8,21.9,-9.1,-0.0653,0.8432,10
Joonas Korpisalo,OTT,2212.0,226.8,237.9,-11.1,-0.005,0.8925,107
