team,xgf_pg,xga_pg,gf_pg,ga_pg,xg_diff_pg
CAR,4.02,3.15,3.77,3.02,0.87
COL,3.73,3.18,3.81,2.93,0.55
EDM,3.9,3.36,3.85,3.46,0.54
FLA,3.72,3.28,3.45,3.14,0.45
VGK,3.49,3.09,3.51,3.09,0.4
DAL,3.61,3.24,3.63,3.09,0.37
TBL,3.52,3.19,3.65,3.04,0.33
OTT,3.29,3.07,3.25,3.18,0.23
LAK,3.22,3.0,3.02,2.89,0.22
NJD,3.4,3.22,3.06,3.2,0.18
MIN,3.25,3.13,3.25,3.13,0.12
PIT,3.43,3.32,3.33,3.34,0.1
PHI,3.05,2.97,2.92,3.22,0.08
WSH,3.36,3.33,3.28,3.07,0.03
UTA,3.35,3.32,3.29,3.25,0.03
WPG,3.16,3.15,3.16,2.85,0.0
NSH,3.27,3.29,3.0,3.32,-0.02
DET,3.29,3.38,3.2,3.37,-0.1
BUF,3.26,3.37,3.39,3.23,-0.11
TOR,3.28,3.47,3.38,3.38,-0.19
NYR,3.17,3.36,3.18,3.1,-0.19
NYI,3.08,3.32,2.87,3.11,-0.24
VAN,3.07,3.33,3.01,3.48,-0.26
CGY,3.03,3.29,2.81,3.18,-0.26
CBJ,3.19,3.46,3.23,3.45,-0.26
STL,2.86,3.13,3.04,3.11,-0.27
BOS,3.14,3.41,3.18,3.19,-0.27
SEA,2.91,3.2,2.89,3.19,-0.28
ANA,3.22,3.55,2.97,3.54,-0.33
MTL,3.14,3.54,3.21,3.29,-0.4
SJS,2.97,3.74,2.88,4.0,-0.77
CHI,2.67,3.49,2.62,3.57,-0.82
