goalie,team,shots_faced,xg_faced,goals_allowed,gsax,gsax_per_shot,sv_pct,games
Igor Shesterkin,NYR,5365.1,539.8,461.2,78.6,0.0147,0.914,275
Andrei Vasilevskiy,TBL,5522.7,558.3,492.0,66.3,0.012,0.9109,305
Connor Hellebuyck,WPG,5595.4,567.8,502.8,65.0,0.0116,0.9101,303
Ilya Sorokin,NYI,5113.2,512.5,456.0,56.5,0.011,0.9108,271
Logan Thompson,VGK,4091.3,420.6,364.5,56.1,0.0137,0.9109,205
Jeremy Swayman,BOS,4651.6,480.0,435.6,44.4,0.0096,0.9064,245
Jakub Dobes,MTL,2115.8,239.4,203.5,35.9,0.017,0.9038,80
Jet Greaves,CBJ,1981.0,206.8,175.5,31.3,0.0158,0.9114,74
Frederik Andersen,CAR,3051.6,334.6,303.9,30.8,0.0101,0.9004,176
Sergei Bobrovsky,FLA,5339.8,555.7,526.5,29.2,0.0055,0.9014,272
Linus Ullmark,BOS,4064.5,400.3,374.4,25.9,0.0064,0.9079,214
Anthony Stolarz,ANA,2364.4,234.6,211.2,23.5,0.0099,0.9107,136
Scott Wedgewood,DAL,2876.6,275.8,253.5,22.3,0.0077,0.9119,163
Casey DeSmith,PIT,2494.9,254.8,233.3,21.5,0.0086,0.9065,148
Jake Oettinger,DAL,5636.8,542.0,522.8,19.2,0.0034,0.9072,287
Sam Montembeault,MTL,2910.5,308.9,289.9,19.1,0.0066,0.9004,176
Filip Gustavsson,OTT,4206.0,404.1,385.3,18.9,0.0045,0.9084,205
Mackenzie Blackwood,NJD,3496.7,357.3,340.7,16.6,0.0047,0.9026,183
Thatcher Demko,VAN,2761.8,276.0,259.5,16.5,0.006,0.9061,186
Spencer Knight,FLA,2851.3,294.8,278.7,16.1,0.0056,0.9023,141
Darcy Kuemper,COL,4164.8,413.2,397.3,15.9,0.0038,0.9046,254
Alex Lyon,CAR,2701.2,278.3,262.4,15.9,0.0059,0.9029,134
Jake Allen,MTL,3107.5,326.8,311.2,15.6,0.005,0.8999,174
Joel Hofer,STL,2369.2,231.3,217.0,14.3,0.006,0.9084,114
Devin Cooley,SJS,951.6,104.8,90.7,14.0,0.0147,0.9046,37
Anton Forsberg,OTT,2827.5,283.0,269.9,13.2,0.0047,0.9046,169
Juuse Saros,NSH,5439.9,537.9,525.6,12.2,0.0022,0.9034,289
Karel Vejmelka,UTA,4696.6,489.9,478.3,11.6,0.0025,0.8981,242
Joseph Woll,TOR,2900.8,290.4,280.5,10.0,0.0034,0.9033,127
Dan Vladar,CGY,2949.8,300.9,291.3,9.6,0.0033,0.9013,157
John Gibson,ANA,4133.9,421.1,412.6,8.4,0.002,0.9002,227
Brandon Bussi,CAR,990.0,111.0,103.0,8.0,0.0081,0.896,43
Semyon Varlamov,NYI,1307.6,124.0,116.4,7.6,0.0058,0.911,93
Dennis Hildeby,TOR,665.5,70.3,63.0,7.3,0.011,0.9053,26
Jesper Wallstedt,MIN,1436.1,134.9,127.9,7.0,0.0049,0.9109,50
Jacob Fowler,MTL,447.0,47.8,41.0,6.8,0.0151,0.9083,18
Joey Daccord,SEA,3355.0,331.8,325.3,6.5,0.0019,0.9031,160
Laurent Brossoit,VGK,756.8,74.2,67.7,6.5,0.0085,0.9105,67
Justus Annunen,COL,1582.2,165.3,159.7,5.7,0.0036,0.8991,79
Ukko-Pekka Luukkonen,BUF,3487.1,359.5,355.0,4.5,0.0013,0.8982,181
Dylan Garand,NYR,97.0,8.9,5.0,3.9,0.04,0.9485,3
Stuart Skinner,EDM,4638.7,480.9,477.7,3.2,0.0007,0.897,239
Mike Smith,EDM,430.2,39.6,36.9,2.7,0.0063,0.9142,44
Arsenii Sergeev,CGY,28.0,3.6,1.0,2.6,0.0937,0.9643,1
