team,attack_100,defense_100,attack_mult,defense_mult,elo,xgf_pg,xga_pg,gsax_per_shot,pp_pct,pk_pct,avg_goals,home_adv
CAR,94.0,92.2,1.3706,0.7491,1663,3.92,3.05,0.0057,24.4,81.0,3.118,1.029
COL,84.0,89.4,1.2058,0.7787,1620,3.71,3.08,0.0028,18.1,84.0,3.118,1.029
TBL,76.8,80.9,1.1417,0.8416,1581,3.52,3.14,0.0119,21.4,82.5,3.118,1.029
VGK,75.0,79.1,1.1284,0.8527,1562,3.48,3.03,0.0107,24.7,80.8,3.118,1.029
DAL,77.8,74.9,1.1493,0.8757,1567,3.5,3.16,0.0059,27.9,80.5,3.118,1.029
BUF,74.5,73.0,1.1252,0.8859,1587,3.29,3.36,0.0016,19.4,81.3,3.118,1.029
MIN,72.0,69.0,1.1082,0.9057,1558,3.27,3.15,-0.0012,24.7,79.0,3.118,1.029
OTT,67.0,72.3,1.078,0.8895,1547,3.33,3.03,-0.0,23.8,76.0,3.118,1.029
MTL,66.9,58.8,1.0776,0.9524,1564,3.15,3.52,0.0073,22.6,78.4,3.118,1.029
EDM,74.9,45.6,1.1277,1.0116,1510,3.74,3.33,0.0006,29.9,77.9,3.118,1.029
WSH,60.2,61.5,1.0412,0.9404,1533,3.36,3.28,-0.0059,18.4,80.2,3.118,1.029
PIT,64.6,49.4,1.0646,0.9942,1503,3.43,3.3,0.0012,24.0,81.1,3.118,1.029
FLA,61.4,51.0,1.0472,0.9871,1515,3.61,3.33,-0.0,20.1,80.9,3.118,1.029
PHI,36.9,68.4,0.9311,0.9086,1506,3.01,2.98,-0.0129,15.6,77.7,3.118,1.029
UTA,54.1,47.7,1.0113,1.0022,1506,3.28,3.31,0.0035,20.0,78.0,3.118,1.029
BOS,52.6,47.6,1.004,1.0028,1513,3.15,3.41,0.0062,22.6,77.2,3.118,1.029
STL,38.1,61.1,0.9367,0.9419,1515,2.81,3.09,-0.0035,18.0,76.5,3.118,1.029
NJD,47.0,50.5,0.9779,0.9893,1479,3.37,3.16,0.0045,22.5,79.7,3.118,1.029
CBJ,46.4,44.1,0.9748,1.0186,1504,3.19,3.39,-0.0001,18.8,76.1,3.118,1.029
NYR,44.3,42.2,0.9653,1.0276,1476,3.12,3.37,0.009,24.1,80.1,3.118,1.029
NSH,42.3,41.3,0.9562,1.0323,1467,3.23,3.34,-0.004,22.9,81.6,3.118,1.029
DET,43.0,37.1,0.9593,1.0531,1473,3.25,3.31,-0.0046,22.9,76.6,3.118,1.029
WPG,33.2,41.1,0.9132,1.033,1468,3.16,3.21,0.0067,19.4,77.8,3.118,1.029
LAK,28.7,45.8,0.8911,1.0109,1456,3.19,3.0,-0.0066,17.3,75.5,3.118,1.029
NYI,30.2,41.6,0.8985,1.0305,1470,3.12,3.35,0.0095,16.3,79.9,3.118,1.029
ANA,39.5,22.6,0.9431,1.1406,1459,3.31,3.53,0.0024,17.9,76.0,3.118,1.029
CGY,21.8,34.3,0.8532,1.0678,1441,3.03,3.3,0.0014,16.7,80.1,3.118,1.029
TOR,33.1,22.0,0.9128,1.1449,1434,3.23,3.49,-0.0026,21.8,80.8,3.118,1.029
SEA,18.4,22.7,0.8324,1.1399,1418,2.88,3.22,-0.0008,19.5,72.9,3.118,1.029
SJS,21.1,12.4,0.8489,1.2386,1398,3.01,3.56,0.0004,20.9,76.3,3.118,1.029
CHI,7.6,14.4,0.7389,1.2138,1356,2.69,3.47,-0.0076,17.6,82.9,3.118,1.029
VAN,12.3,7.3,0.7873,1.3226,1350,3.02,3.41,-0.0069,21.9,72.7,3.118,1.029
