skater,team,pos,games,shots,ixg,goals,ixg_pg,g_pg,fin_vs_xg
Zach Hyman,EDM,L,352,1106.7,144.17,122.1,0.41,0.347,-22.1
Connor McDavid,EDM,C,368,1347.3,131.83,138.8,0.358,0.377,7.0
Auston Matthews,TOR,C,339,1353.6,124.29,129.7,0.367,0.383,5.4
Nathan MacKinnon,COL,C,362,1606.9,121.63,151.0,0.336,0.417,29.4
Sam Reinhart,FLA,C,357,1112.7,121.08,129.8,0.339,0.363,8.7
John Tavares,TOR,C,362,1069.5,119.1,104.8,0.329,0.289,-14.3
Jake Guentzel,PIT,L,358,1055.1,118.24,120.5,0.33,0.337,2.3
Brady Tkachuk,OTT,L,340,1237.8,111.56,90.1,0.328,0.265,-21.5
David Pastrnak,BOS,R,369,1463.7,107.41,130.5,0.291,0.354,23.1
Leon Draisaitl,EDM,C,355,1182.4,107.06,157.9,0.302,0.445,50.8
Kirill Kaprizov,MIN,L,319,1166.7,107.03,129.4,0.336,0.406,22.4
Mikko Rantanen,COL,R,364,1110.2,105.08,115.9,0.289,0.318,10.8
Seth Jarvis,CAR,C,352,1027.0,104.37,99.0,0.297,0.281,-5.4
Sebastian Aho,CAR,C,446,1258.8,104.06,113.4,0.233,0.254,9.3
Alex Ovechkin,WSH,L,350,1230.7,103.64,117.6,0.296,0.336,14.0
Anders Lee,NYI,L,359,931.9,102.32,72.3,0.285,0.201,-30.0
Jason Robertson,DAL,L,388,1217.0,102.13,132.3,0.263,0.341,30.2
Sam Bennett,FLA,C,334,1042.8,100.94,87.9,0.302,0.263,-13.0
Chris Kreider,NYR,L,363,911.9,100.49,101.7,0.277,0.28,1.3
Tomas Hertl,SJS,C,343,908.0,98.98,82.9,0.289,0.242,-16.0
Timo Meier,SJS,R,345,1252.9,98.92,88.5,0.287,0.256,-10.5
Brandon Hagel,TBL,L,365,916.1,98.83,105.5,0.271,0.289,6.6
Nikita Kucherov,TBL,R,359,1254.3,98.33,119.2,0.274,0.332,20.9
Wyatt Johnston,DAL,C,312,938.5,97.27,111.1,0.312,0.356,13.8
Matthew Tkachuk,CGY,L,325,985.1,96.54,87.3,0.297,0.269,-9.2
Nico Hischier,NJD,C,329,877.8,96.05,91.2,0.292,0.277,-4.9
Alex DeBrincat,CHI,L,357,1147.7,96.03,108.2,0.269,0.303,12.2
Matt Boldy,MIN,L,333,1222.9,95.89,106.2,0.288,0.319,10.3
Carter Verhaeghe,FLA,C,368,1113.1,95.0,99.2,0.258,0.269,4.1
Brayden Point,TBL,C,346,839.1,94.58,108.6,0.273,0.314,14.0
Kyle Connor,WPG,L,366,1162.8,93.99,120.9,0.257,0.33,27.0
Andrei Svechnikov,CAR,R,340,1069.2,93.88,88.9,0.276,0.262,-4.9
Tage Thompson,BUF,R,353,1203.7,92.24,124.2,0.261,0.352,31.9
Dylan Larkin,DET,C,324,1003.0,92.03,96.8,0.284,0.299,4.7
Cole Caufield,MTL,R,348,1147.6,91.93,119.7,0.264,0.344,27.8
Filip Forsberg,NSH,L,341,1210.4,90.83,111.2,0.266,0.326,20.4
Sidney Crosby,PIT,C,345,964.8,90.31,100.9,0.262,0.293,10.6
Adrian Kempe,LAK,C,369,1125.9,90.06,113.4,0.244,0.307,23.3
William Nylander,TOR,R,363,1091.1,89.9,120.6,0.248,0.332,30.7
Steven Stamkos,TBL,C,388,983.1,89.15,116.9,0.23,0.301,27.7
Jake DeBrusk,BOS,L,347,831.6,88.54,77.7,0.255,0.224,-10.8
Roope Hintz,DAL,C,345,778.2,88.37,88.6,0.256,0.257,0.2
Brock Nelson,NYI,C,363,911.7,87.3,100.6,0.241,0.277,13.3
Mika Zibanejad,NYR,C,366,1069.3,87.22,92.7,0.238,0.253,5.4
Nazem Kadri,COL,C,356,1164.2,86.97,80.9,0.244,0.227,-6.1
Joel Eriksson Ek,MIN,C,316,888.3,86.74,66.9,0.274,0.212,-19.8
Bryan Rust,PIT,R,318,901.8,85.78,83.7,0.27,0.263,-2.1
Mark Scheifele,WPG,C,348,818.1,83.71,109.8,0.241,0.315,26.0
Artturi Lehkonen,COL,L,314,731.3,83.3,76.3,0.265,0.243,-7.0
Alex Tuch,BUF,R,327,959.8,82.56,94.1,0.252,0.288,11.5
Jack Eichel,VGK,C,311,1115.9,81.42,86.9,0.262,0.279,5.4
Vincent Trocheck,CAR,C,368,908.3,81.39,70.9,0.221,0.193,-10.4
