team,xgf_pg,xga_pg,gf_pg,ga_pg,xg_diff_pg
CAR,3.92,3.05,3.69,2.93,0.87
COL,3.71,3.08,3.76,2.79,0.62
VGK,3.48,3.03,3.5,3.07,0.45
EDM,3.74,3.33,3.76,3.45,0.41
TBL,3.52,3.14,3.59,2.97,0.39
DAL,3.5,3.16,3.54,3.03,0.34
OTT,3.33,3.03,3.27,3.14,0.31
FLA,3.61,3.33,3.38,3.27,0.28
NJD,3.37,3.16,3.01,3.18,0.21
LAK,3.19,3.0,2.93,2.94,0.19
PIT,3.43,3.3,3.4,3.31,0.13
MIN,3.27,3.15,3.32,3.09,0.12
WSH,3.36,3.28,3.3,3.03,0.08
PHI,3.01,2.98,2.9,3.15,0.02
UTA,3.28,3.31,3.27,3.22,-0.03
WPG,3.16,3.21,3.08,2.97,-0.05
DET,3.25,3.31,3.11,3.34,-0.06
BUF,3.29,3.36,3.46,3.22,-0.07
NSH,3.23,3.34,2.98,3.33,-0.11
CBJ,3.19,3.39,3.17,3.38,-0.2
ANA,3.31,3.53,3.08,3.57,-0.22
NYI,3.12,3.35,2.87,3.04,-0.23
NYR,3.12,3.37,3.13,3.11,-0.26
BOS,3.15,3.41,3.24,3.15,-0.26
TOR,3.23,3.49,3.35,3.46,-0.27
CGY,3.03,3.3,2.77,3.17,-0.27
STL,2.81,3.09,3.02,3.14,-0.28
SEA,2.88,3.22,2.91,3.22,-0.33
MTL,3.15,3.52,3.24,3.24,-0.36
VAN,3.02,3.41,2.9,3.66,-0.39
SJS,3.01,3.56,2.97,3.85,-0.55
CHI,2.69,3.47,2.64,3.51,-0.78
