team,scorer,goals_total,op_goals_w,pen_goals_w,matches_w,op_rate,pen_rate,last_date
Norway,Erling Haaland,50,26.576,1.779,39.1,0.6794,0.0455,2026-06-22
Portugal,Cristiano Ronaldo,123,19.488,5.331,47.0,0.415,0.1135,2026-06-23
England,Harry Kane,71,16.316,7.894,47.5,0.3433,0.1661,2026-06-17
France,Kylian Mbappé,49,15.934,5.336,47.7,0.3342,0.1119,2026-06-22
Argentina,Lionel Messi,68,14.815,2.603,46.5,0.3187,0.056,2026-06-22
Belgium,Romelu Lukaku,64,13.56,2.203,44.8,0.3029,0.0492,2025-06-09
Netherlands,Memphis Depay,44,10.779,4.066,45.5,0.2368,0.0893,2025-11-14
Poland,Robert Lewandowski,69,11.166,2.965,40.6,0.2748,0.073,2026-03-26
Serbia,Aleksandar Mitrović,52,12.134,1.895,39.4,0.3083,0.0482,2025-10-14
Austria,Marko Arnautović,39,9.263,4.342,41.4,0.2236,0.1048,2026-06-16
Egypt,Mohamed Salah,34,9.515,2.928,51.2,0.1857,0.0571,2026-06-21
Netherlands,Cody Gakpo,21,8.84,3.586,45.5,0.1942,0.0788,2026-06-20
Spain,Mikel Oyarzabal,20,9.698,2.372,47.3,0.2051,0.0501,2026-06-21
Sweden,Viktor Gyökeres,18,10.499,1.538,43.6,0.2408,0.0353,2026-06-14
Nigeria,Victor Osimhen,17,11.093,0.278,48.4,0.2294,0.0057,2026-01-10
Qatar,Almoez Ali,34,9.555,1.439,54.5,0.1754,0.0264,2024-11-14
Iran,Mehdi Taremi,33,8.977,2.013,42.0,0.2139,0.048,2025-06-10
Iraq,Aymen Hussein,20,9.099,1.612,51.5,0.1765,0.0313,2026-06-16
Croatia,Andrej Kramarić,28,9.921,0.756,45.5,0.2182,0.0166,2025-09-08
Bosnia and Herzegovina,Edin Džeko,58,9.934,0.113,38.1,0.2608,0.003,2026-03-26
South Korea,Son Heung-min,35,6.727,2.827,47.9,0.1403,0.059,2024-11-19
Belgium,Kevin De Bruyne,30,7.03,2.291,44.8,0.157,0.0512,2025-10-13
Portugal,Bruno Fernandes,19,7.179,2.059,47.0,0.1529,0.0439,2025-11-16
Iran,Sardar Azmoun,37,9.194,0.0,42.0,0.2191,0.0,2025-03-20
Kosovo,Vedat Muriqi,24,7.256,1.789,34.0,0.2134,0.0526,2025-09-08
Norway,Alexander Sørloth,21,8.903,0.0,39.1,0.2276,0.0,2025-11-13
Canada,Jonathan David,22,7.891,1.006,46.0,0.1714,0.0218,2026-06-18
Georgia,Georges Mikautadze,15,7.237,1.62,37.4,0.1933,0.0433,2025-09-07
Argentina,Lautaro Martínez,22,8.757,0.0,46.5,0.1884,0.0,2025-09-04
Wales,Harry Wilson,16,5.564,3.063,37.5,0.1484,0.0817,2025-11-18
Colombia,Luis Díaz,17,7.751,0.575,45.0,0.1724,0.0128,2026-06-17
Georgia,Khvicha Kvaratskhelia,19,7.036,1.285,37.4,0.1879,0.0343,2025-09-07
New Zealand,Chris Wood,30,8.142,0.138,32.7,0.2489,0.0042,2025-03-21
Senegal,Sadio Mané,24,6.997,1.257,51.4,0.1362,0.0245,2026-01-14
Japan,Ayase Ueda,14,7.124,1.119,46.4,0.1535,0.0241,2026-06-20
Austria,Michael Gregoritsch,16,8.103,0.0,41.4,0.1956,0.0,2025-11-18
Switzerland,Breel Embolo,18,7.062,1.041,45.1,0.1567,0.0231,2026-06-13
Qatar,Akram Afif,22,5.116,2.962,54.5,0.0939,0.0544,2025-03-20
Turkey,Kerem Aktürkoğlu,14,7.959,0.0,43.9,0.1812,0.0,2026-03-31
Panama,Ismael Díaz,13,6.425,1.515,56.7,0.1134,0.0267,2025-10-14
Italy,Moise Kean,13,7.904,0.0,41.7,0.1894,0.0,2026-03-31
Spain,Ferran Torres,21,7.471,0.369,47.3,0.158,0.0078,2025-11-15
Denmark,Rasmus Højlund,13,6.898,0.846,41.0,0.1683,0.0206,2025-11-18
Austria,Marcel Sabitzer,19,5.767,1.946,41.4,0.1392,0.047,2025-09-09
Spain,Álvaro Morata,30,7.358,0.142,47.3,0.1556,0.003,2024-10-15
Scotland,Scott McTominay,14,6.723,0.703,41.1,0.1636,0.0171,2025-11-18
Czech Republic,Patrik Schick,21,6.075,1.322,42.5,0.1429,0.0311,2026-03-26
Spain,Mikel Merino,10,7.335,0.0,47.3,0.1551,0.0,2025-10-14
Germany,Kai Havertz,16,4.566,2.741,46.1,0.0991,0.0595,2026-06-14
Ecuador,Enner Valencia,26,4.832,2.31,44.1,0.1096,0.0524,2025-09-09
Venezuela,Salomón Rondón,23,5.274,1.741,37.3,0.1414,0.0467,2025-09-09
Gabon,Pierre-Emerick Aubameyang,21,5.877,1.136,31.5,0.1868,0.0361,2025-12-28
Croatia,Ivan Perišić,30,6.073,0.845,45.5,0.1336,0.0186,2025-11-17
Luxembourg,Gerson Rodrigues,20,4.678,2.224,34.0,0.1374,0.0653,2024-11-18
Canada,Cyle Larin,23,6.331,0.517,46.0,0.1375,0.0112,2026-06-18
Jordan,Yazan Al-Naimat,12,6.213,0.535,54.5,0.114,0.0098,2024-11-19
Jordan,Ali Olwan,10,4.776,1.903,54.5,0.0876,0.0349,2026-06-16
Slovenia,Benjamin Šeško,14,4.464,2.204,38.4,0.1162,0.0574,2024-11-14
North Macedonia,Enis Bardhi,18,4.957,1.593,36.8,0.1345,0.0432,2025-10-13
Cameroon,Vincent Aboubakar,21,4.247,2.287,40.1,0.106,0.0571,2025-03-25
