comp,match_id,date,player,team,npxg,npg,peng,goals
WC2022,3857276,2022-12-01,Milan Borjan,Canada,0.0,0,0,0
WC2022,3857276,2022-12-01,Alistair Johnston,Canada,0.6388,0,0,0
WC2022,3857276,2022-12-01,Steven de Sousa Vitoria,Canada,0.0,0,0,0
WC2022,3857276,2022-12-01,Kamal Miller,Canada,0.0,0,0,0
WC2022,3857276,2022-12-01,Sam Adekugbe,Canada,0.0,0,0,0
WC2022,3857276,2022-12-01,Jonathan Osorio,Canada,0.0,0,0,0
WC2022,3857276,2022-12-01,Mark Anthony Kaye,Canada,0.0389,0,0,0
WC2022,3857276,2022-12-01,Alphonso Davies,Canada,0.0519,0,0,0
WC2022,3857276,2022-12-01,Tajon Buchanan,Canada,0.2791,0,0,0
WC2022,3857276,2022-12-01,David Junior Hoilett,Canada,0.0,0,0,0
WC2022,3857276,2022-12-01,Cyle Larin,Canada,0.0,0,0,0
WC2022,3857276,2022-12-01,Yassine Bounou,Morocco,0.0,0,0,0
WC2022,3857276,2022-12-01,Achraf Hakimi Mouh,Morocco,0.0,0,0,0
WC2022,3857276,2022-12-01,Nayef Aguerd,Morocco,0.0,0,0,0
WC2022,3857276,2022-12-01,Romain Saïss,Morocco,0.0,0,0,0
WC2022,3857276,2022-12-01,Noussair Mazraoui,Morocco,0.0,0,0,0
WC2022,3857276,2022-12-01,Sofyan Amrabat,Morocco,0.0,0,0,0
WC2022,3857276,2022-12-01,Azzedine Ounahi,Morocco,0.0,0,0,0
WC2022,3857276,2022-12-01,Abdelhamid Sabiri,Morocco,0.1192,0,0,0
WC2022,3857276,2022-12-01,Hakim Ziyech,Morocco,0.0471,1,0,1
WC2022,3857276,2022-12-01,Sofiane Boufal,Morocco,0.0616,0,0,0
WC2022,3857276,2022-12-01,Youssef En-Nesyri,Morocco,0.1985,1,0,1
WC2022,3857276,2022-12-01,Jonathan David,Canada,0.0,0,0,0
WC2022,3857276,2022-12-01,Atiba Hutchinson,Canada,0.0869,0,0,0
WC2022,3857276,2022-12-01,Ismael Koné,Canada,0.0,0,0,0
WC2022,3857276,2022-12-01,Zakaria Aboukhlal,Morocco,0.0,0,0,0
WC2022,3857276,2022-12-01,Selim Amallah,Morocco,0.0,0,0,0
WC2022,3857276,2022-12-01,Richie Laryea,Canada,0.0,0,0,0
WC2022,3857276,2022-12-01,David Wallace Wotherspoon,Canada,0.0,0,0,0
WC2022,3857276,2022-12-01,Abderrazak Hamdallah,Morocco,0.0,0,0,0
WC2022,3857276,2022-12-01,Jawad El Yamiq,Morocco,0.0,0,0,0
