player,team,apps,npxg,goals,shots,pen_sh,pen_g,fk_sh,fk_xg,fk_g
Kylian Mbappé Lottin,France,15.25,5.19,9.1,58.2,3.65,3.1,2.8,0.125,0.0
Romelu Lukaku Menama,Belgium,10.85,5.14,4.0,27.9,0.55,0.55,0.55,0.023,0.0
Harry Kane,England,17.05,4.97,10.3,42.5,5.3,4.05,0.0,0.0,0.0
Cristiano Ronaldo dos Santos Aveiro,Portugal,12.5,4.89,7.25,50.9,6.25,4.8,12.75,0.52,0.45
Kai Havertz,Germany,8.6,4.42,4.5,28.6,2.0,2.0,0.0,0.0,0.0
Lautaro Javier Martínez,Argentina,10.2,4.37,5.7,21.5,0.7,0.7,0.0,0.0,0.0
Álvaro Borja Morata Martín,Spain,13.1,4.22,4.75,30.1,1.1,0.0,0.0,0.0,0.0
Lionel Andrés Messi Cuccittini,Argentina,11.7,4.02,7.75,45.9,6.35,4.2,5.35,0.283,0.0
Breel-Donald Embolo,Switzerland,12.35,3.91,3.95,20.1,0.0,0.0,0.0,0.0,0.0
Memphis Depay,Netherlands,11.7,3.54,2.8,31.6,0.55,0.55,2.0,0.115,0.0
Aleksandar Mitrović,Serbia,6.45,3.22,1.85,24.2,0.0,0.0,0.0,0.0,0.0
Olivier Giroud,France,12.45,3.08,3.35,22.3,0.55,0.55,0.0,0.0,0.0
Daniel Olmo Carvajal,Spain,11.55,3.04,4.25,38.6,1.1,0.55,0.55,0.004,0.0
Antoine Griezmann,France,16.25,2.9,2.35,30.0,1.35,1.35,3.05,0.107,0.0
Julián Álvarez,Argentina,9.9,2.88,5.8,17.7,1.0,1.0,0.0,0.0,0.0
Neymar da Silva Santos Junior,Brazil,4.35,2.82,2.3,20.5,0.7,0.7,2.3,0.076,0.0
Robert Lewandowski,Poland,7.8,2.71,4.05,24.1,2.4,1.7,1.7,0.069,0.0
Victor James Osimhen,Nigeria,5.95,2.65,0.85,20.4,0.0,0.0,0.0,0.0,0.0
Andrej Kramarić,Croatia,13.25,2.37,3.3,18.6,0.45,0.45,0.0,0.0,0.0
Yoane Wissa,Congo DR,5.95,2.27,2.55,17.8,1.7,1.7,2.55,0.11,0.0
Ricardo Daniel Pepi,United States,3.0,2.16,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Niclas Füllkrug,Germany,7.1,2.1,3.4,14.6,0.0,0.0,0.0,0.0,0.0
Youssef En-Nesyri,Morocco,7.9,2.05,2.7,14.9,0.0,0.0,0.0,0.0,0.0
Darwin Gabriel Núñez Ribeiro,Uruguay,8.1,2.01,2.0,23.1,0.0,0.0,1.0,0.083,0.0
Patrik Schick,Czech Republic,4.75,2.0,3.75,15.8,0.55,0.55,0.55,0.03,0.0
Raheem Sterling,England,8.65,1.92,2.35,13.3,0.0,0.0,0.55,0.033,0.0
Jonathan David,Canada,8.1,1.91,4.0,15.6,2.0,2.0,0.0,0.0,0.0
Luis Alberto Suárez Díaz,Uruguay,8.35,1.9,2.9,13.7,1.0,1.0,1.8,0.098,0.45
Emilio Nsue López,Equatorial Guinea,3.4,1.84,4.25,7.6,0.85,0.0,0.0,0.0,0.0
