date,fighter_a,fighter_b,odds_a,odds_b
2010-03-21,Jon Jones,Brandon Vera,-235.0,215.0
2010-03-27,Nate Diaz,Rory Markham,-235.0,195.0
2010-03-31,Nik Lentz,Rob Emerson,-150.0,130.0
2010-03-31,Gleison Tibau,Caol Uno,-330.0,270.0
2010-04-10,Demian Maia,Anderson Silva,550.0,-675.0
2010-04-10,Alexander Gustafsson,Phil Davis,350.0,-440.0
2010-04-10,Rafael Dos Anjos,Terry Etim,125.0,-135.0
2010-05-08,Johny Hendricks,TJ Grant,-400.0,325.0
2010-06-12,Peter Sobotta,James Wilks,265.0,-325.0
2010-06-19,Brad Tavares,Seth Baczynski,-220.0,180.0
2010-06-19,Court McGee,Kris McCray,-220.0,180.0
2010-07-03,David Branch,Gerald Harris,210.0,-250.0
2010-08-01,Charles Oliveira,Darren Elkins,-240.0,200.0
2010-08-01,Jon Jones,Vladimir Matyushenko,-752.0,602.0
2010-08-01,Igor Pokrajac,James Irvin,140.0,-160.0
2010-08-07,Anderson Silva,Chael Sonnen,-460.0,410.0
2010-08-07,Johny Hendricks,Charlie Brenneman,-370.0,310.0
2010-08-07,Rafael Dos Anjos,Clay Guida,-126.0,116.0
2010-08-28,Demian Maia,Mario Miranda,-210.0,190.0
2010-08-28,Nik Lentz,Andre Winner,105.0,-115.0
2010-08-28,Nate Diaz,Marcus Davis,-190.0,175.0
2010-09-15,David Branch,Tomasz Drwal,135.0,-155.0
2010-09-15,Rafael Natal,Rich Attonito,-195.0,168.0
2010-09-15,Gleison Tibau,Jim Miller,115.0,-125.0
2010-09-15,Charles Oliveira,Efrain Escudero,145.0,-155.0
2010-10-16,Alexander Gustafsson,Cyrille Diabate,-155.0,135.0
2010-10-23,Court McGee,Ryan Jensen,-250.0,210.0
2010-11-13,Peter Sobotta,Amir Sadollah,245.0,-265.0
2010-11-20,Nik Lentz,Tyson Griffin,190.0,-230.0
2010-12-04,Johny Hendricks,Rick Story,-178.0,167.0
2010-12-04,Igor Pokrajac,Stephan Bonnar,220.0,-240.0
2010-12-04,David Branch,Rich Attonito,-160.0,140.0
2010-12-04,Demian Maia,Kendall Grove,-295.0,265.0
2010-12-11,Charles Oliveira,Jim Miller,-150.0,140.0
2011-01-01,Dustin Poirier,Josh Grispi,250.0,-300.0
2011-01-01,Brad Tavares,Phil Baroni,-280.0,240.0
2011-01-01,Nate Diaz,Dong Hyun Kim,121.0,-131.0
2011-02-05,Donald Cerrone,Paul Kelly,-275.0,235.0
2011-02-05,Jon Jones,Ryan Bader,-285.0,258.0
2011-02-05,Anderson Silva,Vitor Belfort,-210.0,190.0
2011-02-05,Demetrious Johnson,Norifumi Yamamoto,-105.0,-115.0
2011-02-26,Alexander Gustafsson,James Te Huna,-350.0,290.0
2011-03-03,David Branch,Rousimar Palhares,140.0,-160.0
2011-03-03,Chris Weidman,Alessio Sakara,-230.0,190.0
2011-03-03,Igor Pokrajac,Todd Brown,-235.0,195.0
2011-03-19,Gleison Tibau,Kurt Pellegrino,-145.0,125.0
2011-03-19,Jon Jones,Mauricio Rua,-215.0,195.0
2011-03-19,Joseph Benavidez,Ian Loveland,-450.0,360.0
2011-03-26,Nik Lentz,Waylon Lowe,-185.0,160.0
