team,matches_3y,per_year,app_frac
Abkhazia,0,0.0,0.75
Afghanistan,21,7.0,0.9
Albania,33,11.0,0.773
Alderney,0,0.0,0.75
Algeria,48,16.0,0.6
Ambazonia,0,0.0,0.75
American Samoa,7,2.3,0.9
Andalusia,0,0.0,0.75
Andorra,31,10.3,0.823
Angola,39,13.0,0.654
Anguilla,20,6.7,0.9
Antigua and Barbuda,18,6.0,0.9
Arameans Suryoye,0,0.0,0.75
Argentina,38,12.7,0.671
Armenia,29,9.7,0.879
Artsakh,0,0.0,0.75
Aruba,21,7.0,0.9
Asturias,0,0.0,0.75
Australia,38,12.7,0.671
Austria,36,12.0,0.708
Aymara,0,0.0,0.75
Azerbaijan,30,10.0,0.85
Bahamas,17,5.7,0.9
Bahrain,40,13.3,0.637
Bangladesh,26,8.7,0.9
Barawa,0,0.0,0.75
Barbados,22,7.3,0.9
Basque Country,2,0.7,0.9
Belarus,30,10.0,0.85
Belgium,37,12.3,0.689
Belize,24,8.0,0.9
Benin,31,10.3,0.823
Bermuda,28,9.3,0.9
Bhutan,15,5.0,0.9
Biafra,0,0.0,0.75
Bolivia,38,12.7,0.671
Bonaire,17,5.7,0.9
Bosnia and Herzegovina,32,10.7,0.797
Botswana,27,9.0,0.9
Brazil,37,12.3,0.689
British Virgin Islands,22,7.3,0.9
Brittany,0,0.0,0.75
Brunei,18,6.0,0.9
Bulgaria,30,10.0,0.85
Burkina Faso,43,14.3,0.6
Burundi,21,7.0,0.9
Cambodia,22,7.3,0.9
Cameroon,34,11.3,0.75
Canada,41,13.7,0.622
Canary Islands,0,0.0,0.75
Cape Verde,39,13.0,0.654
Cascadia,0,0.0,0.75
Catalonia,0,0.0,0.75
Cayman Islands,20,6.7,0.9
Central African Republic,22,7.3,0.9
Central Spain,0,0.0,0.75
Chad,23,7.7,0.9
Chagos Islands,0,0.0,0.75
Chameria,2,0.7,0.9
Chechnya,0,0.0,0.75
Chile,32,10.7,0.797
China,29,9.7,0.879
Cilento,0,0.0,0.75
Colombia,40,13.3,0.637
Comoros,40,13.3,0.637
Congo,13,4.3,0.9
Cook Islands,9,3.0,0.9
Corsica,0,0.0,0.75
Costa Rica,41,13.7,0.622
County of Nice,0,0.0,0.75
Crimea,0,0.0,0.75
Croatia,36,12.0,0.708
Cuba,27,9.0,0.9
Curaçao,33,11.0,0.773
Cyprus,30,10.0,0.85
Czech Republic,36,12.0,0.708
Czechoslovakia,0,0.0,0.75
DR Congo,44,14.7,0.6
Darfur,0,0.0,0.75
Denmark,34,11.3,0.75
Djibouti,14,4.7,0.9
Dominica,20,6.7,0.9
Dominican Republic,30,10.0,0.85
Donetsk PR,0,0.0,0.75
Délvidék,0,0.0,0.75
East Turkestan,3,1.0,0.9
Ecuador,38,12.7,0.671
Egypt,46,15.3,0.6
El Salvador,38,12.7,0.671
Elba Island,0,0.0,0.75
Ellan Vannin,0,0.0,0.75
England,40,13.3,0.637
Equatorial Guinea,34,11.3,0.75
Eritrea,0,0.0,0.75
Estonia,32,10.7,0.797
Eswatini,24,8.0,0.9
Ethiopia,22,7.3,0.9
Falkland Islands,4,1.3,0.9
Faroe Islands,29,9.7,0.879
Felvidék,0,0.0,0.75
Fiji,25,8.3,0.9
Finland,30,10.0,0.85
France,39,13.0,0.654
Franconia,0,0.0,0.75
French Guiana,12,4.0,0.9
Frøya,7,2.3,0.9
Gabon,28,9.3,0.9
Galicia,1,0.3,0.9
Gambia,25,8.3,0.9
Georgia,33,11.0,0.773
German DR,0,0.0,0.75
Germany,38,12.7,0.671
Ghana,36,12.0,0.708
Gibraltar,29,9.7,0.879
Gotland,0,0.0,0.75
Gozo,7,2.3,0.9
Greece,30,10.0,0.85
Greenland,4,1.3,0.9
Grenada,24,8.0,0.9
Guadeloupe,19,6.3,0.9
Guam,10,3.3,0.9
Guatemala,42,14.0,0.607
Guernsey,4,1.3,0.9
Guinea,32,10.7,0.797
Guinea-Bissau,26,8.7,0.9
Guyana,26,8.7,0.9
Găgăuzia,0,0.0,0.75
Haiti,33,11.0,0.773
Hitra,4,1.3,0.9
Hmong,3,1.0,0.9
Honduras,39,13.0,0.654
Hong Kong,37,12.3,0.689
Hungary,33,11.0,0.773
Iceland,33,11.0,0.773
India,28,9.3,0.9
Indonesia,39,13.0,0.654
Iran,37,12.3,0.689
Iraq,44,14.7,0.6
Iraqi Kurdistan,0,0.0,0.75
Isle of Man,9,3.0,0.9
Isle of Wight,4,1.3,0.9
Israel,27,9.0,0.9
Italy,34,11.3,0.75
Ivory Coast,44,14.7,0.6
Jamaica,49,16.3,0.6
Japan,37,12.3,0.689
Jersey,8,2.7,0.9
Jordan,51,17.0,0.6
Kabylia,0,0.0,0.75
Kazakhstan,31,10.3,0.823
Kenya,28,9.3,0.9
Kernow,1,0.3,0.9
Kiribati,0,0.0,0.75
Kosovo,29,9.7,0.879
Kurdistan,0,0.0,0.75
Kuwait,37,12.3,0.689
Kyrgyzstan,28,9.3,0.9
Kárpátalja,0,0.0,0.75
Laos,14,4.7,0.9
Latvia,28,9.3,0.9
Lebanon,30,10.0,0.85
Lesotho,29,9.7,0.879
Liberia,26,8.7,0.9
Libya,26,8.7,0.9
Liechtenstein,30,10.0,0.85
Lithuania,30,10.0,0.85
