fighter,date,event,opponent,result,method,round,decision_type,weightclass,score_margin,division_code
Ed Herman,2006-06-24,,Kendall Grove,L,Decision,3,Unanimous,,,lhw
Anderson Silva,2006-06-28,UFC Fight Night 5,Chris Leben,W,KO/TKO,1,,Middleweight Bout,,mw
Ed Herman,2006-10-10,,Jason MacDonald,L,Submission,1,,,,lhw
Anderson Silva,2006-10-14,UFC 64: Unstoppable,Rich Franklin,W,KO/TKO,1,,UFC Middleweight Title Bout,,mw
Gleison Tibau,2006-11-18,UFC 65: Bad Intentions,Nick Diaz,L,KO/TKO,2,,Welterweight Bout,,ww
Ed Herman,2007-01-25,,Chris Price,W,Submission,1,,,,lhw
Anderson Silva,2007-02-03,UFC 67: All or Nothing,Travis Lutter,W,Submission,2,,Middleweight Bout,,mw
Gleison Tibau,2007-03-03,UFC 68: The Uprising,Jason Dent,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Gleison Tibau,2007-06-12,UFC Fight Night: Stout vs Fisher,Jeff Cox,W,Submission,1,,Lightweight Bout,,ww
Ed Herman,2007-06-16,,Scott Smith,W,Submission,2,,,,lhw
Nate Diaz,2007-06-23,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,Manvel Gamburyan,W,Submission,2,,Ultimate Fighter 5 Lightweight Tournament Title Bout,,ww
Anderson Silva,2007-07-07,UFC 73: Stacked,Nate Marquardt,W,KO/TKO,1,,UFC Middleweight Title Bout,,mw
Gleison Tibau,2007-09-08,UFC 75: Champion vs Champion,Terry Etim,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Nate Diaz,2007-09-19,UFC Fight Night: Thomas vs Florian,Junior Assuncao,W,Submission,1,,Lightweight Bout,,ww
Demian Maia,2007-10-20,UFC 77: Hostile Territory,Ryan Jensen,W,Submission,1,,Middleweight Bout,,ww
Anderson Silva,2007-10-20,UFC 77: Hostile Territory,Rich Franklin,W,KO/TKO,2,,UFC Middleweight Title Bout,,mw
Ed Herman,2007-11-17,,Joe Doerksen,W,KO/TKO,3,,,,lhw
Soa Palelei,2007-12-29,,Eddie Sanchez,L,KO/TKO,3,,,,lhw
Nate Diaz,2008-01-23,UFC Fight Night: Swick vs Burkman,Alvin Robinson,W,Submission,1,,Lightweight Bout,,ww
Gleison Tibau,2008-02-02,UFC 81: Breaking Point,Tyson Griffin,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Anderson Silva,2008-03-01,UFC 82: Pride of a Champion,Dan Henderson,W,Submission,2,,UFC Middleweight Title Bout,,mw
Nate Diaz,2008-04-02,UFC Fight Night: Florian vs Lauzon,Kurt Pellegrino,W,Submission,2,,Lightweight Bout,,ww
Demian Maia,2008-04-19,UFC 83: Serra vs St-Pierre 2,Ed Herman,W,Submission,2,,Middleweight Bout,,ww
Ed Herman,2008-04-19,,Demian Maia,L,Submission,2,,,,lhw
Gleison Tibau,2008-07-05,UFC 86: Jackson vs Griffin,Joe Stevenson,L,Submission,2,,Lightweight Bout,,ww
Anderson Silva,2008-07-19,UFC: Silva vs Irvin,James Irvin,W,KO/TKO,1,,Light Heavyweight Bout,,mw
Jon Jones,2008-08-09,,Andre Gusmao,W,Decision,3,Unanimous,,,lhw
Demian Maia,2008-08-09,UFC 87: Seek And Destroy,Jason MacDonald,W,Submission,3,,Middleweight Bout,,ww
Ed Herman,2008-09-17,,Alan Belcher,L,Decision,3,Split,,,lhw
Nate Diaz,2008-09-17,UFC Fight Night: Diaz vs Neer,Josh Neer,W,Decision - Split,3,Split,Lightweight Bout,,ww
Anderson Silva,2008-10-25,UFC 90: Silva vs Cote,Patrick Cote,W,KO/TKO,3,,UFC Middleweight Title Bout,,mw
Rafael Dos Anjos,2008-11-15,UFC 91: Couture vs Lesnar,Jeremy Stephens,L,KO/TKO,3,,Lightweight Bout,,ww
Demian Maia,2008-11-15,UFC 91: Couture vs Lesnar,Nate Quarry,W,Submission,1,,Middleweight Bout,,ww
Nate Diaz,2009-01-31,UFC 94: St-Pierre vs Penn 2,Clay Guida,L,Decision - Split,3,Split,Lightweight Bout,,ww
Jon Jones,2009-01-31,,Stephan Bonnar,W,Decision,3,Unanimous,,,lhw
Gleison Tibau,2009-02-07,UFC Fight Night: Lauzon vs Stephens,Rich Clementi,W,Submission,1,,Lightweight Bout,,ww
Demian Maia,2009-02-21,UFC 95: Sanchez vs Stevenson,Chael Sonnen,W,Submission,1,,Middleweight Bout,,ww
Rafael Dos Anjos,2009-04-01,UFC Fight Night: Condit vs Kampmann,Tyson Griffin,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Gleison Tibau,2009-04-01,UFC Fight Night: Condit vs Kampmann,Jeremy Stephens,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Ed Herman,2009-04-18,,David Loiseau,W,Decision,3,Unanimous,,,lhw
Anderson Silva,2009-04-18,UFC 97: Redemption,Thales Leites,W,Decision - Unanimous,5,Unanimous,UFC Middleweight Title Bout,,mw
Peter Sobotta,2009-06-13,UFC 99: The Comeback,Paul Taylor,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Nate Diaz,2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Joe Stevenson,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Gleison Tibau,2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Melvin Guillard,L,Decision - Split,3,Split,Lightweight Bout,,ww
Jon Jones,2009-07-11,,Jake O'Brien,W,Submission,2,,,,lhw
Anderson Silva,2009-08-08,UFC 101: Declaration,Forrest Griffin,W,KO/TKO,1,,Light Heavyweight Bout,,mw
Johny Hendricks,2009-08-08,,Amir Sadollah,W,KO/TKO,1,,,,lhw
Ed Herman,2009-08-29,,Aaron Simpson,L,KO/TKO,2,,,,lhw
Demian Maia,2009-08-29,UFC 102: Couture vs Nogueira,Nate Marquardt,L,KO/TKO,1,,Middleweight Bout,,ww
Nate Diaz,2009-09-16,UFC Fight Night: Diaz vs Guillard,Melvin Guillard,W,Submission,2,,Lightweight Bout,,ww
Rafael Dos Anjos,2009-09-19,UFC 103: Franklin vs Belfort,Rob Emerson,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Nik Lentz,2009-09-19,UFC 103: Franklin vs Belfort,Rafaello Oliveira,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Igor Pokrajac,2009-09-19,,Vladimir Matyushenko,L,Decision,3,Unanimous,,,lhw
Gleison Tibau,2009-10-24,UFC 104: Machida vs Shogun,Josh Neer,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Alexander Gustafsson,2009-11-14,,Jared Hamman,W,KO/TKO,1,,,,lhw
Jon Jones,2009-12-05,,Matt Hamill,L,DQ,1,,,,lhw
Johny Hendricks,2009-12-12,,Ricardo Funch,W,Decision,3,Unanimous,,,lhw
Nate Diaz,2010-01-11,UFC Fight Night: Maynard vs Diaz,Gray Maynard,L,Decision - Split,3,Split,Lightweight Bout,,ww
Nik Lentz,2010-01-11,UFC Fight Night: Maynard vs Diaz,Thiago Tavares,D,Decision - Majority,3,Majority,Lightweight Bout,,ww
Rafael Dos Anjos,2010-01-11,UFC Fight Night: Maynard vs Diaz,Kyle Bradley,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Demian Maia,2010-02-06,UFC 109: Relentless,Dan Miller,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Igor Pokrajac,2010-02-20,,James Te Huna,L,KO/TKO,3,,,,lhw
Jon Jones,2010-03-21,,Brandon Vera,W,KO/TKO,1,,,,lhw
Nate Diaz,2010-03-27,UFC 111: St-Pierre vs Hardy,Rory Markham,W,KO/TKO,1,,Welterweight Bout,,ww
Nik Lentz,2010-03-31,UFC Fight Night: Florian vs Gomi,Rob Emerson,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Gleison Tibau,2010-03-31,UFC Fight Night: Florian vs Gomi,Caol Uno,W,KO/TKO,1,,Lightweight Bout,,ww
Demian Maia,2010-04-10,UFC 112: Invincible,Anderson Silva,L,Decision - Unanimous,5,Unanimous,UFC Middleweight Title Bout,,ww
Alexander Gustafsson,2010-04-10,,Phil Davis,L,Submission,1,,,,lhw
Anderson Silva,2010-04-10,UFC 112: Invincible,Demian Maia,W,Decision - Unanimous,5,Unanimous,UFC Middleweight Title Bout,,mw
Rafael Dos Anjos,2010-04-10,UFC 112: Invincible,Terry Etim,W,Submission,2,,Lightweight Bout,,ww
Johny Hendricks,2010-05-08,,TJ Grant,W,Decision,3,Majority,,,lhw
Peter Sobotta,2010-06-12,UFC 115: Liddell vs Franklin,James Wilks,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Brad Tavares,2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Seth Baczynski,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
