fighter,division,division_code,td_def,td_acc,td_per15,str_def,str_acc,kd_per15,sub_att_per15,pct_distance,SLpM,SApM,dmg_per_round,finish_rate,decision_rate,gets_finished_rate,times_kod,ko_tko_wins,times_submitted,td_att_per_round,age,reach_in,height_in,stance,style,layoff_days,streak,country,hometown,rank,ctrl_sec_per_round,wins,losses,last_fight_date
Gaston Bolanos,Bantamweight,bw,0.429,1.0,1.0493333333333335,0.507,0.492,0.19004444444444443,0.18500000000000003,0.6,3.599555555555556,2.8881111111111113,14.9,0.0,0.6,0.4,1,0,1,0.6857777777777777,33.8,69.0,67.0,Orthodox,balanced,0,,,,,40.400000000000006,3.0,2.0,2026-06-20
Andre Fili,Bantamweight,bw,0.716,0.467,2.218838709677419,0.507,0.379,0.3364967741935484,0.2453225806451613,0.5555555555555556,3.895354838709677,4.231387096774194,17.72,0.14814814814814814,0.5555555555555556,0.25925925925925924,4,4,3,1.482,36.0,74.0,71.0,Orthodox,balanced,0,,,,,42.92903225806451,13.0,13.0,2026-06-20
Ion Cutelaba,Middleweight,mw,0.756,0.494,2.8482892307692307,0.475,0.437,0.1906076923076923,0.1939723076923077,0.3333333333333333,3.5166984615384616,2.8296846153846156,17.763,0.2857142857142857,0.3333333333333333,0.38095238095238093,4,4,4,1.9705415384615386,32.5,75.0,73.0,Southpaw,wrestler,5,-1.0,,,,55.558615384615386,9.0,11.0,2026-06-20
Vinicius Oliveira,Bantamweight,bw,0.694,0.467,1.5204,0.569,0.431,0.43024000000000007,0.29850000000000004,0.5,4.3116,3.0313000000000003,22.43,0.3333333333333333,0.5,0.16666666666666666,0,2,1,1.1591999999999998,30.6,70.0,69.0,Switch,balanced,0,,,,13.0,51.540000000000006,5.0,1.0,2026-06-20
Justin Gaethje,Lightweight,lw,0.741,0.4,0.635575,0.513,0.585,0.68005,0.1485625,0.25,5.6017375000000005,5.8244125,28.78,0.4375,0.25,0.3125,3,7,2,0.49026250000000005,37.6,70.0,71.0,Orthodox,striker,6,,United States,"Tucson, United States",,24.8975,,,2026-06-14
Sean O'Malley,Bantamweight,bw,0.597,0.429,0.47519999999999996,0.604,0.613,0.42791999999999997,0.25125000000000003,0.375,5.8637999999999995,3.39565,29.56,0.4375,0.375,0.125,1,7,1,0.38659999999999994,31.7,72.0,71.0,Switch,striker,6,,,,2.0,11.430000000000001,12.0,3.0,2026-06-14
Kyle Daukaus,Middleweight,mw,0.769,0.237,1.5549450549450547,0.429,0.499,0.371228021978022,1.046521978021978,0.3,2.691747252747253,2.7627939560439563,12.188,0.3,0.3,0.3,3,1,0,2.0172527472527473,33.3,76.0,74.0,Southpaw,grappler,11,-1.0,,,,89.29752747252748,4.0,5.0,2026-06-14
Ilia Topuria,Lightweight,lw,0.938,0.611,1.69925,0.641,0.482,0.9273571428571428,0.8286607142857142,0.2,4.106624999999999,3.2740178571428564,20.25,0.7,0.2,0.1,1,6,0,1.064375,29.4,69.0,67.0,Orthodox,balanced,6,,Germany,Germany,1.0,56.19642857142857,,,2026-06-14
Mauricio Ruffy,Lightweight,lw,0.824,0.0,0.79595,0.59,0.584,1.1145,0.297125,0.16666666666666666,4.004475,3.6942250000000003,17.33,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,4,1,0.656725,30.0,75.0,71.0,Orthodox,striker,6,,Brazil,"State of São Paulo, Brazil",7.0,29.055,,,2026-06-14
Aiemann Zahabi,Bantamweight,bw,0.839,0.143,0.49760000000000004,0.692,0.477,0.38682666666666665,0.11100000000000002,0.6363636363636364,4.395733333333333,3.924866666666667,21.15,0.18181818181818182,0.6363636363636364,0.18181818181818182,2,2,0,0.5428,38.6,68.0,68.0,Orthodox,striker,6,,,,6.0,21.280000000000005,8.0,3.0,2026-06-14
Bo Nickal,Middleweight,mw,1.0,0.467,1.5581118881118883,0.597,0.61,0.4497447552447553,0.9346643356643356,0.14285714285714285,2.8532237762237767,2.2361923076923076,12.917,0.7142857142857143,0.14285714285714285,0.14285714285714285,1,3,0,1.2037762237762237,30.4,76.0,73.0,Southpaw,grappler,11,2.0,United States,,15.0,61.805944055944046,6.0,1.0,2026-06-14
Alex Pereira,Middleweight,mw,0.791,0.5,0.36177828054298644,0.539,0.621,0.6028348416289593,0.23842986425339366,0.23076923076923078,4.161850678733032,3.0500656108597286,22.097,0.6153846153846154,0.23076923076923078,0.15384615384615385,2,8,0,0.31391402714932126,38.9,79.0,76.0,Orthodox,striker,11,-1.0,Brazil,,,15.439140271493212,10.0,3.0,2026-06-14
Tom Nolan,Lightweight,lw,0.714,0.222,1.1289500000000001,0.484,0.452,0.2913,1.1299249999999998,0.5,4.352475,3.5850250000000004,24.89,0.3333333333333333,0.5,0.16666666666666666,1,1,0,1.190125,26.3,73.0,75.0,Southpaw,grappler,14,,Australia,Australia,13.0,34.214999999999996,,,2026-06-06
Marcus McGhee,Bantamweight,bw,0.9,0.143,0.8004,0.577,0.452,0.7350399999999999,0.35250000000000004,0.5,4.8996,3.5833,23.91,0.5,0.5,0.0,0,2,0,0.9012,36.1,69.0,68.0,Orthodox,striker,14,,,,15.0,27.420000000000005,5.0,1.0,2026-06-06
John Yannis,Bantamweight,bw,0.667,0.0,0.8777142857142858,0.742,0.538,1.2540571428571428,0.2378571428571429,0.3333333333333333,3.6994285714285717,2.539,10.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,1,0.7388571428571428,32.0,70.0,67.0,Southpaw,balanced,14,,,,,27.6,1.0,2.0,2026-06-06
Brendan Allen,Middleweight,mw,0.548,0.438,1.369096989966555,0.48,0.532,0.2281387959866221,0.8926655518394648,0.42105263157894735,3.3136287625418057,3.2973093645484948,16.556,0.47368421052631576,0.42105263157894735,0.10526315789473684,2,2,0,1.0767190635451505,30.4,75.0,74.0,Orthodox,grappler,19,3.0,United States,,4.0,80.89414715719063,15.0,4.0,2026-06-06
Edmen Shahbazyan,Middleweight,mw,0.66,0.375,1.3096963562753037,0.493,0.483,0.6903785425101215,0.3434898785425101,0.26666666666666666,3.056813765182186,2.9904797570850206,14.926,0.4666666666666667,0.26666666666666666,0.26666666666666666,3,6,1,1.171923076923077,28.5,75.0,74.0,Orthodox,grappler,19,-1.0,,,,47.192914979757084,9.0,6.0,2026-06-06
Bruno Silva,Middleweight,mw,0.736,0.247,1.2331196581196582,0.474,0.497,0.5042293447293448,0.15723361823361823,0.30434782608695654,3.3251652421652427,4.089856125356126,16.627,0.391304347826087,0.30434782608695654,0.2608695652173913,3,7,3,1.5863903133903134,36.2,65.0,64.0,Orthodox,balanced,19,-2.0,,,,44.1505698005698,9.0,13.0,2026-06-06
Deiveson Figueiredo,Bantamweight,bw,0.535,0.385,1.4886153846153847,0.479,0.548,0.4719384615384615,0.9440384615384616,0.45454545454545453,3.0267692307692307,3.677423076923077,13.53,0.36363636363636365,0.45454545454545453,0.18181818181818182,2,4,2,1.2312307692307694,38.5,68.0,65.0,Orthodox,grappler,21,,,,9.0,38.42307692307693,14.0,7.0,2026-05-30
Aoriqileng,Bantamweight,bw,0.583,0.467,1.2959999999999998,0.487,0.499,0.4886,0.11892857142857145,0.5,4.492571428571429,4.906642857142857,20.55,0.2,0.5,0.2,2,2,0,0.9051428571428571,33.0,69.0,67.0,Orthodox,striker,21,,,,,36.9,4.0,5.0,2026-05-30
Song Yadong,Bantamweight,bw,0.738,0.393,0.924,0.551,0.436,0.48378095238095237,0.19261904761904766,0.5294117647058824,4.339809523809524,3.855857142857143,20.76,0.4117647058823529,0.5294117647058824,0.058823529411764705,1,5,0,0.7481904761904762,28.5,67.0,68.0,Orthodox,striker,21,,,,5.0,40.17142857142857,12.0,4.0,2026-05-30
Cody Brundage,Middleweight,mw,0.667,0.424,1.3644615384615384,0.518,0.498,0.39235961538461545,0.3965653846153846,0.25,2.233223076923077,2.5344557692307688,9.8,0.3125,0.25,0.25,2,4,2,1.1045769230769231,32.0,72.0,72.0,Orthodox,grappler,40,1.0,,,,45.16826923076923,6.0,8.0,2026-05-16
Roman Kopylov,Middleweight,mw,0.889,0.5,1.0788269230769232,0.533,0.502,0.7234495192307693,0.09570673076923077,0.4166666666666667,3.962778846153846,4.309819711538461,20.875,0.4166666666666667,0.4166666666666667,0.16666666666666666,0,5,2,0.7967211538461538,35.0,75.0,72.0,Southpaw,balanced,47,1.0,,,,31.010336538461537,7.0,5.0,2026-05-09
Joaquin Buckley,Middleweight,mw,0.702,0.452,1.2584871794871793,0.589,0.364,0.5546282051282051,0.12715750915750915,0.35294117647058826,3.234545787545788,2.8426721611721613,16.067,0.47058823529411764,0.35294117647058826,0.17647058823529413,3,6,0,0.9691684981684981,32.0,76.0,70.0,Southpaw,balanced,47,-2.0,United States,,,32.979304029304025,11.0,6.0,2026-05-09
Sean Strickland,Middleweight,mw,0.688,0.621,0.7229045092838196,0.606,0.425,0.26542042440318303,0.17607957559681697,0.68,5.446705570291776,4.226866047745358,28.929,0.24,0.68,0.08,2,5,0,0.4522944297082228,35.2,76.0,73.0,Orthodox,balanced,47,2.0,United States,,,27.626392572944297,18.0,7.0,2026-05-09
Khamzat Chimaev,Middleweight,mw,0.875,0.583,3.6099450549450554,0.52,0.542,0.28979945054945055,0.9479505494505494,0.4,3.4096043956043958,2.749936813186813,17.217,0.6,0.4,0.0,0,2,0,2.1843956043956045,32.0,75.0,74.0,Orthodox,grappler,47,-1.0,Russia,,1.0,117.94038461538462,9.0,1.0,2026-05-09
Marco Tulio,Middleweight,mw,0.0,0.4,0.9861538461538462,0.563,0.549,0.7433990384615385,0.19141346153846153,0.25,4.725557692307692,2.9536394230769227,30.625,0.5,0.25,0.25,1,2,0,0.8739423076923077,31.9,74.0,72.0,Orthodox,balanced,47,-2.0,,,,38.42067307692308,2.0,2.0,2026-05-09
Quillan Salkilld,Lightweight,lw,0.75,0.312,4.308833333333333,0.476,0.598,1.3508888888888888,0.6723611111111111,0.2,4.71975,2.90625,16.57,0.8,0.2,0.0,0,3,0,3.1951388888888888,26.5,75.0,72.0,Orthodox,wrestler,49,,Australia,"Pinjarra, Australia",12.0,65.63888888888889,,,2026-05-02
Beneil Dariush,Lightweight,lw,0.827,0.384,2.1841166666666667,0.572,0.491,0.5044333333333333,0.7967083333333334,0.38461538461538464,3.8618916666666667,2.7788749999999998,16.08,0.3076923076923077,0.38461538461538464,0.3076923076923077,7,3,1,1.630175,37.1,72.0,70.0,Southpaw,wrestler,49,,Iran,Iran,14.0,98.425,,,2026-05-02
Vince Morales,Bantamweight,bw,0.644,0.471,0.939,0.545,0.367,0.2464,0.44906250000000003,0.8333333333333334,3.51975,3.7770625,16.42,0.08333333333333333,0.8333333333333334,0.08333333333333333,1,1,0,0.7132499999999999,35.6,70.0,67.0,Orthodox,balanced,49,,,,,29.7375,3.0,9.0,2026-05-02
Jacob Malkoun,Middleweight,mw,0.556,0.429,3.7746331360946743,0.554,0.568,0.20547633136094678,0.5899467455621302,0.6666666666666666,3.6922662721893493,2.4608550295857983,19.273,0.1111111111111111,0.6666666666666666,0.1111111111111111,1,1,0,2.988733727810651,30.7,73.0,69.0,Orthodox,wrestler,54,3.0,,,,104.74349112426036,6.0,3.0,2026-05-02
Gerald Meerschaert,Middleweight,mw,0.4,0.294,1.3667743589743588,0.536,0.451,0.19297307692307697,1.1101102564102563,0.23076923076923078,2.536482051282051,2.8706371794871797,12.074,0.46153846153846156,0.23076923076923078,0.3076923076923077,5,1,3,1.513851282051282,38.4,77.0,73.0,Southpaw,grappler,54,-5.0,,,,54.11884615384615,12.0,14.0,2026-05-02
Montel Jackson,Bantamweight,bw,0.67,0.61,2.3725882352941174,0.593,0.538,1.0656705882352941,0.3426470588235294,0.6923076923076923,3.1585882352941175,1.870764705882353,13.32,0.3076923076923077,0.6923076923076923,0.0,0,3,0,1.3136470588235294,34.2,75.0,70.0,Southpaw,balanced,56,,,,,75.31764705882354,9.0,4.0,2026-04-25
Rodolfo Vieira,Middleweight,mw,0.6,0.222,2.187148717948718,0.492,0.543,0.18081282051282052,0.6946205128205128,0.36363636363636365,3.109697435897436,3.6317410256410256,15.154,0.45454545454545453,0.36363636363636365,0.18181818181818182,1,0,1,3.0919692307692306,36.6,73.0,72.0,Orthodox,wrestler,61,-2.0,,,,72.62435897435898,6.0,5.0,2026-04-25
Raoni Barcelos,Bantamweight,bw,0.878,0.317,2.3049473684210526,0.606,0.517,0.39002105263157893,0.6244736842105264,0.6666666666666666,4.512947368421052,4.083842105263158,22.39,0.26666666666666666,0.6666666666666666,0.06666666666666667,1,2,0,2.277473684210526,39.1,67.0,67.0,Orthodox,balanced,56,,,,14.0,65.8736842105263,11.0,4.0,2026-04-25
Jasmine Jasudavicius,Women's Flyweight,wflw,0.75,0.446,2.1271875,0.517,0.445,0.10564062500000002,0.51653125,0.6666666666666666,3.365328125,3.180015625,15.78,0.25,0.6666666666666666,0.08333333333333333,1,0,0,1.62153125,37.3,68.0,67.0,Orthodox,wrestler,63,1.0,Canada,"St. Catharines, Canada",7.0,119.6890625,9.0,3.0,2026-04-18
Kyler Phillips,Bantamweight,bw,0.75,0.473,2.467428571428571,0.59,0.429,0.2778857142857143,0.3546428571428572,0.8,4.485428571428572,3.7423571428571427,22.17,0.2,0.8,0.0,0,1,0,1.7265714285714286,31.0,72.0,68.0,Orthodox,balanced,63,,,,,54.9,6.0,4.0,2026-04-18
Gilbert Burns,Middleweight,mw,0.537,0.356,1.8142838196286473,0.525,0.481,0.20679973474801058,0.40538992042440314,0.48,3.003602122015915,3.4104867374005305,14.758,0.32,0.48,0.2,5,3,0,1.6962599469496022,39.7,71.0,70.0,Orthodox,grappler,68,-5.0,,,,61.936737400530504,15.0,10.0,2026-04-18
JJ Aldrich,Women's Flyweight,wflw,0.675,0.256,0.8382380952380953,0.619,0.461,0.026773809523809526,0.0724047619047619,0.8235294117647058,3.8708214285714284,4.0521071428571425,19.21,0.058823529411764705,0.8235294117647058,0.11764705882352941,1,1,1,0.9607857142857144,33.7,67.0,65.0,Southpaw,striker,63,2.0,United States,"Denver, United States",14.0,52.18214285714285,11.0,6.0,2026-04-18
Karine Silva,Women's Flyweight,wflw,0.294,0.545,1.8255833333333333,0.537,0.397,0.1581875,1.015375,0.625,2.7904375,2.755020833333333,10.94,0.375,0.625,0.0,0,0,0,1.2267083333333335,32.5,67.0,65.0,Orthodox,wrestler,63,-2.0,Brazil,"Dourados, Brazil",10.0,66.31875000000001,5.0,3.0,2026-04-18
