fighter,division,elo,rank_elo,overall_rating,style,grappler_index,striker_index,SLpM,str_def,td_per15,td_def,ctrl_sec_per_round,sub_att_per15,finish_rate,gets_finished_rate,head_share,ground_strike_per15,ground_ctrl_share,distance_strike_diff15,finish_threat15,head_absorbed_per15,kd_absorbed_per15,age,stance,n_fights
Petr Yan,Bantamweight,1831.1,1831.1,90.3,balanced,0.513,0.85,4.93,0.596,1.67,0.864,44.1,0.17,0.25,0.0,0.68,9.26,0.148,1.68,0.65,37.83,0.09,33.4,Switch,16
Merab Dvalishvili,Bantamweight,1820.7,1820.7,90.6,wrestler,0.914,0.579,4.34,0.54,5.13,0.76,95.5,0.36,0.118,0.059,0.659,12.67,0.319,6.52,0.47,25.87,0.087,35.4,Orthodox,17
Umar Nurmagomedov,Bantamweight,1792.3,1792.3,90.6,wrestler,0.935,0.618,3.9,0.612,3.26,0.794,92.4,0.29,0.333,0.0,0.667,12.37,0.309,11.2,0.47,18.91,0.234,30.5,Orthodox,9
Sean O'Malley,Bantamweight,1787.8,1787.8,88.3,striker,0.253,1.0,5.86,0.604,0.48,0.597,11.4,0.25,0.438,0.125,0.659,3.55,0.041,34.22,0.7,24.46,0.051,31.7,Switch,16
Cory Sandhagen,Bantamweight,1754.9,1754.9,83.5,striker,0.433,0.911,4.69,0.567,1.23,0.564,53.7,0.28,0.438,0.062,0.645,8.81,0.18,12.09,0.53,29.32,0.095,34.2,Switch,16
Farid Basharat,Bantamweight,1739.2,1739.2,81.7,wrestler,0.869,0.535,3.65,0.622,2.75,0.545,81.4,0.43,0.167,0.0,0.611,4.53,0.271,3.0,0.51,27.91,0.135,28.9,Orthodox,6
Song Yadong,Bantamweight,1734.3,1734.3,79.5,striker,0.371,0.891,4.34,0.551,0.92,0.738,40.2,0.19,0.412,0.059,0.624,5.34,0.136,3.4,0.63,31.98,0.048,28.5,Orthodox,17
Mario Bautista,Bantamweight,1730.5,1730.5,80.8,balanced,0.599,0.738,5.01,0.548,1.83,0.558,59.0,0.75,0.357,0.143,0.612,4.61,0.198,12.28,0.92,34.68,0.204,33.0,Switch,14
Montel Jackson,Bantamweight,1715.2,1715.2,77.0,balanced,0.713,0.703,3.16,0.593,2.37,0.67,75.3,0.34,0.308,0.0,0.699,6.34,0.252,7.78,1.29,11.6,0.057,34.2,Southpaw,13
David Martinez,Bantamweight,1715.6,1715.1,77.4,striker,0.342,0.818,4.27,0.7,1.25,1.0,36.6,0.24,0.333,0.0,0.634,5.55,0.125,11.0,0.61,30.43,0.138,27.9,Orthodox,3
Payton Talbott,Bantamweight,1702.9,1702.9,77.1,striker,0.479,0.966,5.12,0.451,1.2,0.72,50.8,0.31,0.5,0.0,0.687,12.67,0.172,14.74,0.78,27.55,0.097,27.8,Switch,6
Raoni Barcelos,Bantamweight,1702.6,1702.6,76.5,balanced,0.616,0.748,4.51,0.606,2.3,0.878,65.9,0.62,0.267,0.067,0.711,11.29,0.22,-2.53,0.97,38.03,0.224,39.1,Orthodox,15
Jose Aldo,Bantamweight,1699.6,1699.6,72.1,striker,0.356,0.785,3.6,0.602,0.59,0.917,31.7,0.17,0.174,0.174,0.668,3.44,0.118,-0.05,0.47,36.66,0.133,39.8,Orthodox,23
Bryce Mitchell,Bantamweight,1699.5,1699.5,73.6,grappler,0.946,0.49,2.45,0.587,2.65,0.333,124.9,0.94,0.231,0.231,0.59,9.91,0.412,1.04,1.08,18.81,0.385,31.7,Southpaw,13
TJ Dillashaw,Bantamweight,1693.4,1693.4,75.9,balanced,0.576,0.814,4.84,0.62,1.6,0.778,63.6,0.76,0.444,0.167,0.657,10.26,0.212,8.96,1.16,32.74,0.209,40.4,Orthodox,18
Marcus McGhee,Bantamweight,1690.0,1690.0,74.3,striker,0.24,0.92,4.9,0.577,0.8,0.9,27.4,0.35,0.5,0.0,0.663,4.41,0.098,16.22,0.94,30.33,0.108,36.1,Orthodox,6
Vinicius Oliveira,Bantamweight,1689.6,1689.6,73.5,balanced,0.537,0.698,4.31,0.569,1.52,0.694,51.5,0.3,0.333,0.167,0.583,7.27,0.173,14.96,0.69,29.17,0.108,30.6,Switch,6
Charles Jourdain,Bantamweight,1685.4,1685.4,73.1,striker,0.319,0.926,5.05,0.568,0.64,0.47,37.1,0.59,0.353,0.118,0.553,5.54,0.124,5.95,1.0,34.14,0.296,30.6,Switch,17
Aiemann Zahabi,Bantamweight,1680.0,1680.0,70.1,striker,0.174,0.848,4.4,0.692,0.5,0.839,21.3,0.11,0.182,0.182,0.696,4.4,0.075,2.84,0.46,33.69,0.316,38.6,Orthodox,11
Raul Rosas Jr.,Bantamweight,1670.1,1670.1,71.3,wrestler,1.0,0.434,2.31,0.548,4.86,0.333,112.6,0.69,0.429,0.0,0.638,5.83,0.378,1.14,0.87,19.65,0.088,21.7,Switch,7
Casey Kenney,Bantamweight,1670.1,1670.1,70.3,striker,0.414,0.772,4.55,0.589,1.23,0.556,44.9,0.35,0.125,0.0,0.559,3.16,0.15,1.96,0.42,36.8,0.113,35.3,Southpaw,8
Jean Matsumoto,Bantamweight,1670.0,1670.0,72.4,wrestler,0.836,0.572,4.49,0.475,2.8,0.548,62.0,0.58,0.2,0.0,0.592,2.4,0.207,-0.07,0.67,49.88,0.15,26.8,Orthodox,5
Henry Cejudo,Bantamweight,1669.6,1669.6,69.5,balanced,0.494,0.686,3.7,0.559,1.77,0.714,55.1,0.18,0.25,0.062,0.563,6.61,0.186,-4.38,0.51,29.85,0.153,39.4,Orthodox,16
Marlon Vera,Bantamweight,1659.1,1659.1,68.4,striker,0.342,0.913,4.12,0.489,0.58,0.717,25.8,0.66,0.423,0.0,0.553,6.06,0.092,-14.04,1.17,44.46,0.067,33.5,Switch,26
Dominick Cruz,Bantamweight,1654.6,1654.6,68.1,wrestler,0.62,0.547,4.11,0.658,2.14,0.838,41.7,0.2,0.1,0.2,0.65,3.38,0.139,9.46,0.31,28.75,0.491,41.3,Orthodox,10
Deiveson Figueiredo,Bantamweight,1654.5,1654.5,66.9,grappler,0.689,0.661,3.03,0.479,1.49,0.535,38.4,0.94,0.364,0.182,0.609,6.38,0.152,-9.23,1.62,32.21,0.083,38.5,Orthodox,22
Daniel Marcos,Bantamweight,1640.4,1640.4,67.6,balanced,0.576,0.729,4.42,0.584,1.65,0.857,54.1,0.29,0.286,0.0,0.617,3.03,0.18,1.15,0.57,30.96,0.123,33.3,Orthodox,7
Elijah Smith,Bantamweight,1682.4,1640.3,75.4,grappler,0.864,0.629,3.71,0.517,1.77,0.462,67.8,0.79,0.667,0.0,0.711,12.36,0.226,0.16,1.05,25.89,0.193,23.8,Orthodox,3
Jonathan Martinez,Bantamweight,1638.1,1638.1,65.3,striker,0.341,0.925,4.35,0.57,0.62,0.684,41.2,0.15,0.267,0.067,0.573,6.6,0.138,2.69,0.72,27.8,0.277,32.2,Southpaw,15
Chris Gutierrez,Bantamweight,1631.2,1631.2,63.7,striker,0.234,0.902,4.32,0.634,0.56,0.679,19.5,0.14,0.2,0.067,0.432,2.77,0.067,23.44,0.55,21.54,0.107,35.2,Orthodox,15
Brady Hiestand,Bantamweight,1630.1,1630.1,67.3,grappler,1.0,0.532,3.22,0.512,3.28,0.429,94.9,0.78,0.5,0.0,0.676,3.94,0.316,-1.99,0.85,37.72,0.544,27.1,Orthodox,4
Rinya Nakamura,Bantamweight,1623.1,1623.1,66.5,grappler,0.98,0.627,3.19,0.641,2.03,1.0,98.7,0.94,0.4,0.0,0.591,9.25,0.329,2.49,1.37,20.7,0.302,31.2,Southpaw,5
Brett Johns,Bantamweight,1619.6,1619.6,64.9,grappler,1.0,0.498,3.18,0.534,3.77,0.583,111.1,0.83,0.286,0.0,0.782,10.41,0.37,-8.58,0.86,32.07,0.525,34.3,Orthodox,7
Davey Grant,Bantamweight,1614.9,1614.9,62.6,striker,0.372,0.91,5.21,0.548,1.11,0.652,37.5,0.23,0.25,0.25,0.446,3.83,0.125,16.38,0.48,32.7,0.296,40.5,Orthodox,16
Rob Font,Bantamweight,1613.1,1613.1,62.9,striker,0.289,0.95,4.93,0.577,0.83,0.371,25.9,0.34,0.333,0.048,0.738,3.68,0.086,20.18,0.68,32.26,0.256,39.0,Orthodox,21
Jimmie Rivera,Bantamweight,1611.6,1611.6,60.0,striker,0.301,0.753,3.95,0.601,1.11,0.926,29.8,0.21,0.091,0.091,0.56,2.35,0.099,1.5,0.49,27.83,0.318,37.0,Orthodox,11
Cody Garbrandt,Bantamweight,1610.0,1610.0,58.3,balanced,0.281,0.681,3.02,0.589,0.98,0.818,21.7,0.08,0.353,0.294,0.703,2.84,0.073,-8.03,0.85,32.89,0.493,35.0,Orthodox,17
Kyler Phillips,Bantamweight,1609.9,1609.9,63.3,balanced,0.612,0.67,4.49,0.59,2.47,0.75,54.9,0.35,0.2,0.0,0.663,8.12,0.184,5.56,0.58,31.56,0.143,31.0,Orthodox,10
Said Nurmagomedov,Bantamweight,1608.5,1608.5,61.9,grappler,0.562,0.573,3.33,0.556,1.04,0.632,33.6,0.95,0.455,0.0,0.564,4.49,0.113,9.35,1.12,16.45,0.065,34.2,Orthodox,11
Pedro Munhoz,Bantamweight,1607.3,1607.3,61.8,striker,0.2,0.908,5.17,0.566,0.6,0.831,18.6,0.43,0.273,0.0,0.548,3.25,0.066,-12.99,0.82,58.47,0.037,39.8,Orthodox,22
Ricky Simon,Bantamweight,1607.2,1607.2,61.4,balanced,0.701,0.591,3.21,0.604,3.39,0.784,74.7,0.31,0.294,0.118,0.687,5.08,0.25,-13.19,0.62,36.54,0.31,33.8,Orthodox,17
Taylor Lapilus,Bantamweight,1607.2,1607.2,61.1,striker,0.363,0.811,4.31,0.628,0.76,0.775,42.2,0.34,0.125,0.0,0.643,3.54,0.14,12.55,0.58,21.94,0.113,34.2,Southpaw,8
Da'Mon Blackshear,Bantamweight,1598.5,1598.5,62.3,grappler,0.79,0.578,4.16,0.522,1.56,0.714,61.7,1.2,0.4,0.1,0.571,4.68,0.206,0.24,1.18,31.81,0.194,31.9,Switch,10
Adrian Yanez,Bantamweight,1597.6,1597.6,60.3,striker,0.123,0.985,5.3,0.565,0.5,0.733,20.6,0.14,0.5,0.2,0.703,5.32,0.069,3.08,0.95,38.13,0.418,32.6,Orthodox,10
Serhiy Sidey,Bantamweight,1595.9,1595.9,59.9,grappler,0.68,0.539,4.06,0.548,1.72,0.2,47.7,0.85,0.0,0.0,0.609,3.07,0.159,-0.13,0.97,39.97,0.336,30.0,Switch,3
Felipe Lima,Bantamweight,1592.1,1592.1,59.5,balanced,0.49,0.576,3.51,0.647,1.81,0.857,46.9,0.55,0.333,0.0,0.615,3.82,0.159,3.97,0.71,29.62,0.138,28.1,Orthodox,3
Marlon Moraes,Bantamweight,1591.1,1591.1,55.8,balanced,0.412,0.65,3.46,0.542,1.11,0.462,27.8,0.39,0.273,0.455,0.642,3.36,0.093,-0.01,0.92,37.59,0.509,38.1,Orthodox,11
Benardo Sopaj,Bantamweight,1588.7,1588.7,59.6,wrestler,0.816,0.656,4.02,0.527,2.04,0.769,60.8,0.63,0.333,0.333,0.72,13.22,0.203,-9.54,1.05,31.84,0.354,25.7,Orthodox,3
Frankie Edgar,Bantamweight,1579.4,1579.4,58.4,wrestler,0.721,0.594,3.77,0.659,2.23,0.656,63.1,0.34,0.233,0.167,0.658,11.54,0.21,2.64,0.43,30.48,0.307,44.7,Orthodox,30
Saidyokub Kakhramonov,Bantamweight,1578.7,1578.7,58.0,grappler,1.0,0.504,3.01,0.585,3.84,0.833,100.8,1.12,0.333,0.333,0.661,7.27,0.336,0.59,1.21,21.55,0.193,30.6,Orthodox,3
Victor Henry,Bantamweight,1577.1,1577.1,58.3,balanced,0.513,0.824,5.92,0.48,1.3,0.81,49.5,0.4,0.143,0.143,0.589,5.08,0.165,12.12,0.76,40.11,0.123,39.1,Switch,7
Santiago Luna,Bantamweight,1573.2,1573.2,58.4,wrestler,0.791,0.697,4.05,0.717,1.99,0.5,59.1,0.48,0.333,0.333,0.662,5.42,0.195,11.44,1.22,34.46,0.226,21.9,Orthodox,3
Kyung Ho Kang,Bantamweight,1562.1,1562.1,56.7,grappler,0.927,0.537,3.27,0.544,1.92,0.683,88.6,0.71,0.286,0.0,0.733,8.46,0.295,-2.41,1.0,29.16,0.14,38.8,Orthodox,14
Jafel Filho,Bantamweight,1557.0,1557.0,54.9,grappler,0.957,0.401,2.47,0.522,2.12,0.474,73.5,1.3,0.5,0.167,0.556,5.05,0.245,-1.84,1.33,18.88,0.285,33.1,Orthodox,6
Raphael Assuncao,Bantamweight,1554.5,1554.5,52.1,balanced,0.457,0.594,3.51,0.66,1.62,0.789,39.7,0.2,0.158,0.263,0.546,4.28,0.132,2.87,0.32,19.59,0.312,43.9,Orthodox,19
Alatengheili,Bantamweight,1553.0,1553.0,51.9,balanced,0.502,0.496,3.1,0.573,1.74,0.75,45.8,0.15,0.111,0.0,0.644,2.66,0.153,-20.9,0.3,40.62,0.104,34.5,Orthodox,9
Geraldo de Freitas,Bantamweight,1552.0,1552.0,53.3,wrestler,0.745,0.565,3.71,0.504,2.29,0.593,57.3,0.28,0.0,0.0,0.658,3.79,0.191,8.02,0.4,28.25,0.193,34.7,Orthodox,3
Tony Gravely,Bantamweight,1550.7,1550.7,53.5,wrestler,0.914,0.618,3.59,0.427,4.35,0.5,94.2,0.16,0.25,0.25,0.628,8.41,0.314,-12.61,0.64,40.38,0.213,34.7,Orthodox,8
SuYoung You,Bantamweight,1549.2,1549.2,52.2,wrestler,0.794,0.508,3.05,0.701,2.49,0.0,70.6,0.39,0.0,0.25,0.651,2.97,0.235,4.3,0.49,27.65,0.306,30.5,Orthodox,4
Javid Basharat,Bantamweight,1549.0,1549.0,53.2,balanced,0.47,0.723,4.78,0.639,1.58,0.839,47.3,0.15,0.0,0.143,0.591,6.91,0.16,14.35,0.38,26.89,0.194,30.8,Orthodox,7
Rani Yahya,Bantamweight,1548.7,1548.7,52.8,grappler,0.961,0.365,2.2,0.504,2.52,0.31,96.4,1.33,0.333,0.095,0.555,4.82,0.321,1.04,1.25,22.07,0.351,41.8,Orthodox,21
Andre Fili,Bantamweight,1548.5,1548.5,51.4,balanced,0.538,0.658,3.9,0.507,2.22,0.716,42.9,0.25,0.148,0.259,0.716,4.19,0.144,-3.03,0.53,32.1,0.288,36.0,Orthodox,27
Colby Thicknesse,Bantamweight,1548.4,1548.4,52.3,grappler,0.665,0.499,3.52,0.543,1.29,0.333,63.1,1.0,0.0,0.0,0.59,9.07,0.21,-2.27,1.12,30.39,0.193,27.0,Orthodox,3
Timur Valiev,Bantamweight,1545.3,1545.3,52.4,balanced,0.594,0.7,4.46,0.453,1.74,0.556,66.7,0.39,0.0,0.0,0.541,7.06,0.222,12.48,0.63,33.38,0.851,36.4,Orthodox,4
Hunter Azure,Bantamweight,1545.3,1545.3,50.6,balanced,0.547,0.615,3.64,0.606,1.58,0.676,63.5,0.39,0.0,0.25,0.579,5.15,0.211,7.57,0.63,26.83,0.306,34.3,Orthodox,4
